,Count,Token,Price,7days_cum_sum,7days_acc_rate,price_change
2019-02-16,29,AID,0.036789999999999996,16718,358.2%,-0.8%
2019-02-15,12996,AID,0.035930000000000004,16689,357.9%,-0.1%
2019-02-17,29,AID,0.037219999999999996,16747,357.7%,-0.4%
2019-02-18,32,AID,0.047889999999999995,16779,357.6%,32.0%
2019-02-19,27,AID,0.036930000000000004,16806,357.2%,1.6%
2019-02-20,16,AID,0.041569999999999996,16822,356.3%,15.5%
2019-02-21,17,AID,0.0354,16839,356.0%,-2.1%
2018-02-06,6,AID,0.265,147,320.0%,-53.1%
2018-02-07,11,AID,0.2484,158,116.4%,-54.4%
2018-02-08,13,AID,0.2804,171,85.9%,-38.9%
2018-05-21,12,AID,0.2149,1202,67.9%,60.5%
2018-05-22,5,AID,0.1866,1207,67.4%,55.2%
2018-05-23,11,AID,0.1671,1218,66.2%,47.4%
2018-05-19,15,AID,0.2433,1172,64.1%,90.1%
2018-05-18,130,AID,0.2711,1157,63.2%,105.2%
2018-02-09,15,AID,0.2941,186,63.2%,-24.2%
2018-02-10,8,AID,0.2793,194,60.3%,-31.5%
2018-02-11,6,AID,0.2703,200,57.5%,-23.9%
2018-02-12,12,AID,0.308,212,50.4%,11.5%
2018-02-13,5,AID,0.2978,217,47.6%,12.4%
2018-05-17,294,AID,0.27,1027,45.9%,83.9%
2018-02-14,5,AID,0.3167,222,40.5%,27.5%
2018-02-22,12,AID,0.2492,311,37.0%,-25.4%
2018-02-21,10,AID,0.3035,299,34.7%,-4.2%
2018-02-18,13,AID,0.35,269,34.5%,29.5%
2018-02-20,12,AID,0.3322,289,33.2%,11.6%
2018-02-15,5,AID,0.33399999999999996,227,32.7%,19.1%
2018-02-23,6,AID,0.2985,317,32.6%,-22.6%
2018-02-17,17,AID,0.39899999999999997,256,32.0%,42.9%
2018-02-19,8,AID,0.365,277,30.7%,18.5%
2018-02-16,12,AID,0.3858,239,28.5%,31.2%
2018-02-24,4,AID,0.2673,321,25.4%,-33.0%
2018-02-25,7,AID,0.282,328,21.9%,-19.4%
2018-02-26,9,AID,0.3219,337,21.7%,-11.8%
2018-02-27,13,AID,0.3075,350,21.1%,-7.4%
2018-05-24,16,AID,0.17600000000000002,1234,20.2%,-34.8%
2018-11-08,67,AID,0.06,2295,19.7%,-0.1%
2018-02-28,7,AID,0.2903,357,19.4%,-4.3%
2018-11-09,49,AID,0.058170000000000006,2344,18.8%,-7.4%
2018-11-10,22,AID,0.0542,2366,17.9%,-9.8%
2018-03-03,7,AID,0.2954,374,16.5%,10.5%
2018-03-01,5,AID,0.2971,362,16.4%,19.2%
2018-03-02,5,AID,0.2905,367,15.8%,-2.7%
2018-11-06,66,AID,0.06059,2159,15.8%,-2.3%
2018-03-04,2,AID,0.27899999999999997,376,14.6%,-1.1%
2018-11-12,3,AID,0.05591,2369,13.2%,-6.8%
2018-03-05,3,AID,0.2922,379,12.5%,-9.2%
2018-11-05,55,AID,0.06,2093,12.3%,-10.4%
2018-11-13,42,AID,0.055999999999999994,2411,11.7%,-7.6%
2018-11-14,65,AID,0.0505,2476,11.1%,-6.8%
2018-11-04,31,AID,0.06,2038,10.6%,-11.8%
2018-03-09,6,AID,0.2288,405,10.4%,-21.2%
2018-03-12,7,AID,0.2236,418,10.3%,-23.5%
2018-03-08,7,AID,0.2277,399,10.2%,-23.4%
2018-11-03,34,AID,0.06006,2007,10.2%,-19.2%
2018-03-06,6,AID,0.2667,385,10.0%,-13.3%
2018-03-07,7,AID,0.2481,392,9.8%,-14.5%
2018-03-13,4,AID,0.2209,422,9.6%,-17.2%
2018-11-02,55,AID,0.0628,1973,9.4%,0.6%
2018-03-11,4,AID,0.2311,411,9.3%,-17.2%
2018-03-14,6,AID,0.1982,428,9.2%,-20.1%
2018-03-18,8,AID,0.1878,448,9.0%,-18.7%
2018-05-08,7,AID,0.1534,701,8.9%,-8.8%
2018-03-10,2,AID,0.2217,407,8.8%,-24.9%
2018-03-22,5,AID,0.1869,468,8.6%,-3.2%
2018-03-20,5,AID,0.2163,458,8.5%,-2.1%
2018-05-07,8,AID,0.152,694,8.4%,-10.3%
2018-04-19,10,AID,0.188,593,8.4%,6.2%
2018-03-19,5,AID,0.18600000000000003,453,8.4%,-16.8%
2018-05-06,7,AID,0.1625,686,8.4%,-9.7%
2018-03-21,5,AID,0.19,463,8.2%,-4.1%
2018-03-17,3,AID,0.1845,440,8.1%,-16.8%
2018-11-15,4,AID,0.043019999999999996,2480,8.1%,-28.3%
2018-03-15,3,AID,0.193,431,8.0%,-15.2%
2018-05-09,1,AID,0.1529,702,8.0%,-11.5%
2018-03-16,6,AID,0.1907,437,7.9%,-16.7%
2018-04-20,2,AID,0.19699999999999998,595,7.8%,11.4%
2018-03-23,3,AID,0.1876,471,7.8%,-1.6%
2018-05-05,7,AID,0.1682,679,7.8%,-5.9%
2018-10-26,20,AID,0.06245,1803,7.6%,24.9%
2018-04-21,1,AID,0.185,596,7.6%,-1.0%
2018-11-01,53,AID,0.06006,1918,7.6%,8.2%
2018-11-26,17,AID,0.02314,2677,7.4%,-27.8%
2018-04-22,2,AID,0.1958,598,7.4%,2.3%
2018-05-04,10,AID,0.1681,672,7.3%,-5.5%
2018-05-25,7,AID,0.1658,1241,7.3%,-38.8%
2018-10-29,21,AID,0.067,1863,7.3%,52.9%
2018-11-25,25,AID,0.0181,2660,7.1%,-46.1%
2018-10-28,21,AID,0.068,1842,7.0%,36.7%
2018-11-27,8,AID,0.02897,2685,6.9%,15.1%
2018-04-12,6,AID,0.177,547,6.8%,9.5%
2018-04-23,4,AID,0.1995,602,6.7%,4.1%
2018-05-26,9,AID,0.1901,1250,6.7%,-21.9%
2018-10-27,18,AID,0.07431,1821,6.6%,50.1%
2018-05-03,12,AID,0.1682,662,6.6%,-5.7%
2018-04-13,5,AID,0.1769,552,6.6%,13.3%
2018-10-25,25,AID,0.05549,1783,6.5%,2.8%
2018-10-30,2,AID,0.062,1865,6.5%,24.0%
2018-04-10,6,AID,0.1593,541,6.5%,-4.0%
2018-03-26,10,AID,0.184,482,6.4%,-1.1%
