,Count,Token,Price,7days_cum_sum,7days_acc_rate,price_change
2018-01-10,60,BLT,1.624,778,222.8%,18.9%
2018-01-11,81,BLT,1.57,859,160.3%,17.0%
2018-01-12,67,BLT,1.715,926,137.4%,-33.8%
2018-01-13,99,BLT,2.256,1025,111.3%,18.0%
2018-01-14,70,BLT,2.162,1095,89.4%,10.5%
2018-01-15,77,BLT,1.79,1172,78.1%,3.6%
2018-01-16,106,BLT,1.3130000000000002,1278,78.0%,-32.6%
2018-01-17,99,BLT,1.383,1377,77.0%,-14.8%
2018-01-18,62,BLT,1.403,1439,67.5%,-10.6%
2018-01-19,68,BLT,1.3330000000000002,1507,62.7%,-22.3%
2018-01-20,67,BLT,1.4380000000000002,1574,53.6%,-36.3%
2018-01-21,54,BLT,1.1440000000000001,1628,48.7%,-47.1%
2018-01-22,36,BLT,1.19,1664,42.0%,-33.5%
2018-01-23,61,BLT,1.119,1725,35.0%,-14.8%
2018-03-08,22,BLT,0.8316,3223,30.5%,76.1%
2018-01-26,91,BLT,1.455,1964,30.3%,9.2%
2018-01-25,98,BLT,1.486,1873,30.2%,5.9%
2018-01-24,50,BLT,1.082,1775,28.9%,-21.8%
2018-01-27,57,BLT,1.464,2021,28.4%,1.8%
2018-01-28,47,BLT,1.232,2068,27.0%,7.7%
2018-01-29,44,BLT,1.345,2112,26.9%,13.0%
2018-03-09,33,BLT,0.7197,3256,26.4%,25.5%
2018-01-30,39,BLT,1.011,2151,24.7%,-9.7%
2018-03-11,197,BLT,0.4344,3453,23.5%,-45.9%
2018-01-31,24,BLT,1.0,2175,22.5%,-7.6%
2018-03-12,124,BLT,0.6761,3577,21.5%,-24.2%
2018-02-01,24,BLT,0.9236,2199,17.4%,-37.8%
2018-02-02,37,BLT,0.8982,2236,13.8%,-38.3%
2018-03-23,7,BLT,0.1686,4111,13.5%,-6.7%
2018-03-21,12,BLT,0.4179,4087,13.5%,4.5%
2018-03-14,25,BLT,0.4,3602,12.5%,-35.1%
2018-03-30,187,BLT,0.2757,4608,12.1%,63.5%
2018-02-03,23,BLT,1.146,2259,11.8%,-21.7%
2018-05-10,351,BLT,1.3019999999999998,5704,11.3%,86.0%
2018-03-16,20,BLT,0.1808,3622,11.2%,-74.9%
2018-02-04,27,BLT,0.7534,2286,10.5%,-38.8%
2018-05-14,23,BLT,0.7994,5848,10.5%,16.3%
2018-05-15,27,BLT,0.6211,5875,10.5%,-62.2%
2018-05-11,70,BLT,0.7795,5774,10.4%,10.4%
2018-05-13,26,BLT,0.5849,5825,10.4%,-18.2%
2018-05-12,25,BLT,1.2309999999999999,5799,10.2%,55.4%
2018-05-16,10,BLT,0.6221,5885,9.9%,-28.0%
2018-02-05,18,BLT,0.5908,2304,9.1%,-56.1%
2018-02-06,26,BLT,0.7929,2330,8.3%,-21.6%
