,Count,Token,Price,7days_cum_sum,7days_acc_rate,price_change
2018-05-16,57,DOCK,0.1598,676,436.5%,-17.6%
2018-05-23,433,DOCK,0.1095,2056,204.1%,-31.5%
2018-05-24,93,DOCK,0.124,2149,194.0%,-18.0%
2018-05-17,55,DOCK,0.1512,731,192.4%,-17.1%
2018-05-25,100,DOCK,0.1171,2249,186.1%,-22.2%
2018-05-26,32,DOCK,0.1158,2281,172.8%,-21.9%
2018-05-27,49,DOCK,0.1074,2330,164.2%,-29.2%
2018-05-22,632,DOCK,0.1332,1623,162.2%,-21.1%
2018-05-18,55,DOCK,0.1505,786,140.4%,2.9%
2018-05-28,34,DOCK,0.09534,2364,138.5%,-37.8%
2018-05-19,50,DOCK,0.1483,836,107.4%,3.6%
2018-05-20,46,DOCK,0.1518,882,82.2%,-7.9%
2018-05-21,109,DOCK,0.1534,991,82.2%,-3.5%
2018-05-29,43,DOCK,0.1096,2407,48.3%,-17.7%
2018-06-05,67,DOCK,0.1149,3545,47.3%,4.8%
2018-06-04,198,DOCK,0.1136,3478,47.1%,19.2%
2018-06-07,185,DOCK,0.1045,3787,46.8%,-4.7%
2018-06-06,57,DOCK,0.1097,3602,42.1%,4.5%
2018-06-03,71,DOCK,0.1272,3280,40.8%,18.4%
2018-06-02,128,DOCK,0.132,3209,40.7%,14.0%
2018-06-01,502,DOCK,0.1152,3081,37.0%,-1.6%
2018-08-01,57,DOCK,0.039639999999999995,7120,35.7%,-16.7%
2018-08-02,44,DOCK,0.03411,7164,35.6%,-27.1%
2018-08-03,30,DOCK,0.03425,7194,35.4%,-34.5%
2018-08-04,17,DOCK,0.03355,7211,35.3%,-36.4%
2018-08-05,7,DOCK,0.032869999999999996,7218,35.1%,-34.4%
2018-07-31,149,DOCK,0.04575,7063,35.0%,-2.1%
2018-07-30,1571,DOCK,0.05885,6914,32.7%,31.2%
2018-06-08,85,DOCK,0.1004,3872,25.7%,-12.8%
2018-05-30,128,DOCK,0.105,2535,23.3%,-4.1%
2018-06-09,32,DOCK,0.09333999999999999,3904,21.7%,-29.3%
2018-06-10,35,DOCK,0.07761,3939,20.1%,-39.0%
2018-05-31,44,DOCK,0.1096,2579,20.0%,-11.6%
2018-06-13,68,DOCK,0.05658,4118,14.3%,-48.4%
2018-06-12,82,DOCK,0.06196,4050,14.2%,-46.1%
2018-06-11,29,DOCK,0.07271,3968,14.1%,-36.0%
2019-01-23,26,DOCK,0.01036,9706,9.2%,13.0%
2018-06-14,17,DOCK,0.06165,4135,9.2%,-41.0%
2019-01-22,13,DOCK,0.00985,9680,9.0%,12.2%
2019-01-21,15,DOCK,0.009848,9667,8.9%,11.1%
2019-01-19,4,DOCK,0.01024,9650,8.7%,23.2%
2019-01-20,2,DOCK,0.009649,9652,8.7%,22.9%
2019-01-18,418,DOCK,0.010620000000000001,9646,8.7%,38.5%
2018-06-17,43,DOCK,0.059410000000000004,4250,7.9%,-23.5%
2018-06-16,46,DOCK,0.06265,4207,7.8%,-32.9%
2018-06-15,26,DOCK,0.06308,4161,7.5%,-37.2%
2018-06-18,12,DOCK,0.06005,4262,7.4%,-17.4%
2018-06-22,38,DOCK,0.03924,4449,6.9%,-37.8%
2018-06-21,41,DOCK,0.05209,4411,6.7%,-15.5%
2018-06-19,51,DOCK,0.05831,4313,6.5%,-5.9%
2018-06-23,18,DOCK,0.03912,4467,6.2%,-37.6%
2018-06-20,57,DOCK,0.05415,4370,6.1%,-4.3%
