,Count,Token,Price,7days_cum_sum,7days_acc_rate,price_change
2018-07-05,7,ETK,0.005359,75,837.5%,14.1%
2018-07-06,5,ETK,0.005744,80,321.1%,8.9%
2018-12-02,47,ETK,0.0014089999999999999,3473,200.7%,46.6%
2018-12-03,4,ETK,0.0008657999999999999,3477,200.5%,14.4%
2018-12-01,250,ETK,0.0009480000000000001,3426,200.3%,-5.4%
2018-12-04,8,ETK,0.0012640000000000001,3485,199.7%,37.8%
2018-11-30,928,ETK,0.001323,3176,179.6%,17.2%
2018-07-07,6,ETK,0.004797999999999999,86,132.4%,-13.6%
2018-07-08,10,ETK,0.005232,96,118.2%,-5.1%
2018-07-09,13,ETK,0.005468,109,109.6%,-2.8%
2018-07-10,8,ETK,0.004793,117,105.3%,-13.4%
2018-11-29,343,ETK,0.0012,2248,99.8%,2.8%
2018-07-11,10,ETK,0.005115,127,86.8%,-10.8%
2018-11-28,742,ETK,0.001279,1905,85.7%,39.2%
2018-07-12,2,ETK,0.005065,129,72.0%,-5.5%
2018-07-13,8,ETK,0.0047350000000000005,137,71.2%,-17.6%
2018-07-14,2,ETK,0.004952000000000001,139,61.6%,3.2%
2018-07-15,14,ETK,0.005028,153,59.4%,-3.9%
2018-12-06,1,ETK,0.001255,3486,55.1%,4.6%
2018-08-01,10,ETK,0.004414,350,53.5%,10.3%
2018-07-31,56,ETK,0.004796,340,51.8%,42.9%
2018-08-02,9,ETK,0.005,359,51.5%,53.3%
2018-08-03,18,ETK,0.005137,377,51.4%,33.6%
2018-08-04,8,ETK,0.004070000000000001,385,51.0%,-1.1%
2018-08-05,6,ETK,0.004014,391,51.0%,3.9%
2018-07-16,11,ETK,0.004381,164,50.5%,-19.9%
2018-07-17,3,ETK,0.005422,167,42.7%,13.1%
2018-07-19,7,ETK,0.004696,183,41.9%,-7.3%
2018-07-21,9,ETK,0.0036149999999999997,197,41.7%,-27.0%
2018-08-06,8,ETK,0.0031260000000000003,399,40.5%,-25.6%
2018-07-18,9,ETK,0.00479,176,38.6%,-6.4%
2018-07-20,5,ETK,0.004493,188,37.2%,-5.1%
2018-07-22,10,ETK,0.0032310000000000004,207,35.3%,-35.7%
2018-07-24,9,ETK,0.003356,224,34.1%,-38.1%
2018-07-27,12,ETK,0.003846,249,32.4%,-14.4%
2018-07-30,25,ETK,0.0042,284,32.1%,33.1%
2018-07-23,8,ETK,0.003156,215,31.1%,-28.0%
2018-07-25,4,ETK,0.0040030000000000005,228,29.5%,-16.4%
2018-07-26,9,ETK,0.0032619999999999997,237,29.5%,-30.5%
2018-07-28,6,ETK,0.004115,255,29.4%,13.8%
2018-07-29,4,ETK,0.0038619999999999995,259,25.1%,19.5%
2018-11-23,11,ETK,0.001129,1136,21.4%,-22.2%
2018-11-22,99,ETK,0.001167,1125,21.4%,-35.7%
2018-11-24,5,ETK,0.0010019999999999999,1141,20.5%,-66.1%
2018-08-07,9,ETK,0.004572,408,20.0%,-4.7%
2018-08-08,5,ETK,0.004337,413,18.0%,-1.7%
2018-08-09,5,ETK,0.004646,418,16.4%,-7.1%
2018-08-17,10,ETK,0.005297,493,15.7%,30.2%
2018-08-16,10,ETK,0.002074,483,15.6%,-55.4%
2018-08-18,3,ETK,0.002285,496,15.1%,-27.8%
2018-11-25,14,ETK,0.0009609999999999999,1155,14.9%,-28.7%
2018-08-15,11,ETK,0.004219,473,14.5%,-2.7%
2018-08-19,4,ETK,0.003389,500,13.9%,-17.5%
2018-11-26,2,ETK,0.0007569,1157,13.5%,-31.6%
2018-11-27,6,ETK,0.0009175,1163,13.5%,-13.9%
2018-08-20,10,ETK,0.0043219999999999995,510,13.3%,22.9%
2018-08-14,12,ETK,0.003896,462,13.2%,-14.8%
2018-08-10,8,ETK,0.004068,426,13.0%,-20.8%
2018-08-13,11,ETK,0.0035159999999999996,450,12.8%,12.5%
2018-08-21,9,ETK,0.0035700000000000003,519,12.3%,-8.4%
2018-08-12,8,ETK,0.00411,439,12.3%,2.4%
2018-08-11,5,ETK,0.003167,431,11.9%,-22.2%
2018-11-20,6,ETK,0.001066,1025,11.5%,-37.7%
2018-08-22,8,ETK,0.002982,527,11.4%,-29.3%
2018-11-19,14,ETK,0.001106,1019,11.4%,-30.6%
2018-11-21,1,ETK,0.0009186,1026,11.2%,-42.9%
2018-08-23,8,ETK,0.0034,535,10.8%,63.9%
2018-08-26,6,ETK,0.00336,551,10.2%,-0.9%
2018-09-04,9,ETK,0.002855,612,10.1%,-14.3%
2018-08-24,7,ETK,0.003157,542,9.9%,-40.4%
2018-08-25,3,ETK,0.0035770000000000003,545,9.9%,56.5%
2018-12-07,2,ETK,0.001163,3488,9.8%,-12.1%
2018-09-09,7,ETK,0.002744,640,9.8%,-13.4%
2018-09-03,20,ETK,0.004907,603,9.0%,44.8%
2018-09-08,7,ETK,0.001739,633,8.8%,-36.0%
2018-09-05,6,ETK,0.00234,618,8.6%,-22.8%
2018-08-27,2,ETK,0.003389,553,8.4%,-21.6%
2018-09-06,2,ETK,0.002355,620,8.4%,16.8%
2018-09-07,6,ETK,0.002207,626,8.1%,-49.3%
2018-08-29,13,ETK,0.003032,569,8.0%,1.7%
2018-09-10,7,ETK,0.002593,647,7.3%,-47.2%
