,Count,Token,Price,7days_cum_sum,7days_acc_rate,price_change
2018-01-27,201,ETN,0.1125,326,715.0%,-26.7%
2018-02-01,1,ETN,0.0679,328,628.9%,-42.5%
2018-02-02,1,ETN,0.06972,329,163.2%,-35.9%
2017-11-10,5,ETN,0.03152,20,122.2%,-45.9%
2017-11-09,1,ETN,0.04028,15,87.5%,-51.7%
2017-11-14,1,ETN,0.036680000000000004,23,76.9%,-22.7%
2017-11-11,1,ETN,0.02853,21,75.0%,-30.8%
2017-11-03,1,ETN,0.058289999999999995,9,50.0%,196825.7%
2018-07-21,14,ETN,0.01217,641,25.0%,13.1%
2018-07-22,14,ETN,0.01144,655,24.8%,2.6%
2018-07-20,19,ETN,0.01127,627,24.2%,4.6%
2018-07-23,10,ETN,0.01335,665,22.9%,13.3%
2018-01-14,1,ETN,0.1616,36,20.0%,-10.6%
2018-07-24,13,ETN,0.01314,678,15.5%,6.1%
2018-07-25,8,ETN,0.01324,686,15.5%,7.6%
2017-11-18,1,ETN,0.032369999999999996,24,14.3%,13.5%
2018-07-26,3,ETN,0.01206,689,13.3%,-0.7%
2018-07-27,2,ETN,0.01231,691,10.2%,9.2%
2018-07-28,3,ETN,0.01204,694,8.3%,-1.1%
2020-05-24,4,ETN,0.007228,861,5.5%,-17.9%
2020-05-22,1,ETN,0.006517,850,4.7%,-29.5%
2020-05-26,2,ETN,0.007359999999999999,866,4.6%,-10.5%
2018-09-01,1,ETN,0.00635,727,4.2%,5.4%
2020-05-27,4,ETN,0.008909,870,3.6%,23.0%
2019-01-07,5,ETN,0.007716,769,2.9%,4.9%
2020-05-29,2,ETN,0.008736,874,2.8%,34.0%
2018-03-14,2,ETN,0.04166,451,2.7%,-28.1%
2020-05-28,2,ETN,0.009418000000000001,872,2.7%,59.3%
2020-05-30,1,ETN,0.009168,875,2.1%,33.1%
2020-05-19,12,ETN,0.008225,828,2.1%,79.6%
2018-04-01,6,ETN,0.01925,480,1.9%,-32.0%
2018-04-02,1,ETN,0.01939,481,1.9%,-26.8%
2020-03-30,2,ETN,0.002059,800,1.7%,-6.5%
2020-03-29,1,ETN,0.0018149999999999998,798,1.5%,-6.9%
2018-02-08,2,ETN,0.06832,333,1.5%,0.6%
2019-01-05,4,ETN,0.0072900000000000005,757,1.5%,-2.2%
2020-06-18,2,ETN,0.006157999999999999,890,1.4%,-6.5%
2018-08-01,1,ETN,0.01108,695,1.3%,-16.3%
2020-06-17,6,ETN,0.006489,888,1.3%,-13.1%
2018-02-06,1,ETN,0.060989999999999996,331,1.2%,-22.8%
2020-06-02,1,ETN,0.008383,876,1.2%,13.9%
2018-02-17,2,ETN,0.08900000000000001,412,1.0%,29.2%
2020-07-04,2,ETN,0.005797999999999999,904,0.9%,14.4%
2020-05-17,4,ETN,0.008799,816,0.9%,155.1%
2018-03-26,1,ETN,0.0265,472,0.9%,-25.0%
