,Count,Token,Price,7days_cum_sum,7days_acc_rate,price_change
2017-10-06,160,EVX,4.24,7141,714000.0%,12.5%
2017-10-09,134,EVX,4.07,7282,3469.6%,-8.7%
2017-10-15,130,EVX,1.3319999999999999,9495,32.8%,-67.3%
2017-10-16,94,EVX,1.244,9589,31.7%,-69.4%
2017-10-13,212,EVX,1.4240000000000002,9218,29.1%,-66.4%
2017-10-12,258,EVX,1.235,9006,29.0%,-70.9%
2017-10-11,557,EVX,1.43,8748,25.9%,-66.3%
2017-11-01,133,EVX,1.22,12699,24.6%,19.1%
2017-10-31,164,EVX,1.666,12566,24.1%,57.9%
2017-10-30,499,EVX,1.841,12402,23.3%,50.9%
2017-10-10,909,EVX,1.588,8191,22.6%,-62.5%
2017-11-02,96,EVX,1.348,12795,21.0%,-13.0%
2017-10-29,511,EVX,1.9409999999999998,11903,19.0%,71.0%
2017-11-03,103,EVX,1.526,12898,18.1%,-3.3%
2017-10-17,72,EVX,1.188,9661,17.9%,-25.2%
2017-10-28,474,EVX,2.3609999999999998,11392,14.6%,116.8%
2017-11-04,60,EVX,1.5330000000000001,12958,13.7%,-35.1%
2017-10-18,81,EVX,1.2819999999999998,9742,11.4%,-10.3%
2017-10-27,344,EVX,1.578,10918,10.6%,47.2%
2017-11-05,52,EVX,1.52,13010,9.3%,-21.7%
2017-10-19,75,EVX,1.168,9817,9.0%,-5.4%
2017-10-26,380,EVX,1.55,10574,7.7%,32.7%
2017-10-20,56,EVX,1.072,9873,7.1%,-24.7%
2018-01-10,180,EVX,4.7010000000000005,18859,6.8%,35.9%
2018-01-09,203,EVX,4.963,18679,6.6%,149.4%
2018-01-11,104,EVX,3.875,18963,6.2%,4.6%
2017-10-21,66,EVX,1.089,9939,6.1%,-19.7%
2018-01-08,157,EVX,5.077,18476,6.1%,150.1%
2018-01-12,89,EVX,3.945,19052,6.1%,23.6%
2017-11-13,81,EVX,1.676,13818,5.7%,17.6%
2018-01-13,122,EVX,5.192,19174,5.7%,-2.5%
2017-11-12,70,EVX,1.629,13737,5.6%,7.2%
2018-01-07,180,EVX,5.874,18319,5.5%,202.8%
2017-11-10,112,EVX,1.834,13608,5.5%,20.2%
2017-11-09,188,EVX,2.15,13496,5.5%,59.5%
2017-11-11,59,EVX,1.8619999999999999,13667,5.5%,21.5%
2017-11-06,60,EVX,1.425,13070,5.4%,-22.6%
2017-11-14,82,EVX,1.827,13900,5.3%,12.6%
2017-10-22,62,EVX,1.135,10001,5.3%,-14.8%
2018-01-14,101,EVX,4.5169999999999995,19275,5.2%,-23.1%
2017-11-07,126,EVX,1.6230000000000002,13196,5.0%,-2.6%
2017-11-15,68,EVX,1.641,13968,5.0%,-17.1%
2018-01-06,174,EVX,5.325,18139,4.9%,229.3%
2017-10-23,58,EVX,1.22,10059,4.9%,-1.9%
2017-11-08,112,EVX,1.98,13308,4.8%,62.3%
2017-10-24,65,EVX,1.055,10124,4.8%,-11.2%
2017-12-27,71,EVX,1.885,17070,4.7%,23.1%
