,Count,Token,Price,7days_cum_sum,7days_acc_rate,price_change
2018-01-03,734,FAIR,1.135,1645,82150.0%,1.8%
2018-01-04,426,FAIR,1.169,2071,718.6%,12.4%
2018-01-06,512,FAIR,1.345,2696,439.2%,35.3%
2018-01-08,515,FAIR,1.1740000000000002,3378,406.4%,9.1%
2018-01-07,167,FAIR,1.177,2863,397.9%,10.6%
2018-01-05,113,FAIR,1.1520000000000001,2184,395.2%,9.8%
2018-01-09,370,FAIR,1.111,3748,311.4%,-2.5%
2018-07-07,61,FAIR,0.2463,37925,243.8%,5.8%
2018-07-06,13,FAIR,0.2406,37864,243.6%,6.4%
2018-07-05,3354,FAIR,0.2382,37851,243.5%,11.3%
2018-07-04,4684,FAIR,0.2402,34497,213.3%,7.3%
2018-07-03,105,FAIR,0.2373,29813,170.9%,6.9%
2018-07-02,718,FAIR,0.2411,29708,170.0%,5.7%
2018-07-01,17959,FAIR,0.2311,28990,163.6%,2.9%
2018-01-10,211,FAIR,1.111,3959,140.7%,-2.1%
2018-01-11,100,FAIR,1.006,4059,96.0%,-13.9%
2018-01-18,281,FAIR,0.9051,7778,91.6%,-10.0%
2018-01-12,107,FAIR,1.0590000000000002,4166,90.8%,-8.1%
2018-01-17,1289,FAIR,0.9008,7497,89.4%,-18.9%
2018-01-19,26,FAIR,0.8849,7804,87.3%,-16.4%
2018-01-20,40,FAIR,0.9768,7844,84.7%,-7.9%
2018-01-21,24,FAIR,0.8664,7868,82.3%,-32.8%
2018-01-16,1109,FAIR,0.8763,6208,65.6%,-21.1%
2018-01-13,80,FAIR,1.061,4246,57.5%,-21.1%
2018-01-22,22,FAIR,0.7821,7890,54.7%,-30.8%
2018-01-15,783,FAIR,1.131,5099,50.9%,-3.7%
2018-01-14,70,FAIR,1.2890000000000001,4316,50.8%,9.5%
2018-07-08,12,FAIR,0.2445,37937,30.9%,5.8%
2018-07-09,5,FAIR,0.2431,37942,27.7%,0.8%
2018-01-23,30,FAIR,0.8085,7920,27.6%,-7.7%
2018-07-10,9,FAIR,0.2299,37951,27.3%,-3.1%
2018-07-11,5,FAIR,0.2331,37956,10.0%,-3.0%
2018-01-24,43,FAIR,0.8341,7963,6.2%,-7.4%
2018-02-02,84,FAIR,0.5517,8385,4.5%,-29.1%
2018-02-04,44,FAIR,0.5052,8457,4.4%,-38.7%
2018-02-03,28,FAIR,0.5626,8413,4.4%,-29.9%
2018-04-24,76,FAIR,0.35200000000000004,9669,4.2%,21.9%
2018-05-10,51,FAIR,0.3292,10232,4.0%,-7.3%
2018-02-05,22,FAIR,0.4045,8479,3.9%,-48.0%
2018-05-11,18,FAIR,0.3069,10250,3.9%,-13.2%
2018-04-23,59,FAIR,0.3269,9593,3.9%,11.0%
2018-04-25,29,FAIR,0.3234,9698,3.8%,8.3%
2018-05-09,224,FAIR,0.3398,10181,3.8%,1.0%
2018-01-31,55,FAIR,0.7022,8262,3.8%,-15.8%
2018-05-12,14,FAIR,0.3093,10264,3.8%,-13.8%
2018-02-01,39,FAIR,0.5718,8301,3.7%,-28.1%
2018-05-13,17,FAIR,0.3175,10281,3.7%,-9.7%
2018-04-22,50,FAIR,0.3216,9534,3.7%,5.3%
2018-05-14,11,FAIR,0.3161,10292,3.7%,-7.5%
2018-01-30,47,FAIR,0.7187,8207,3.6%,-11.1%
2018-02-06,16,FAIR,0.4523,8495,3.5%,-37.1%
2018-05-15,12,FAIR,0.3091,10304,3.5%,-7.8%
2018-01-29,63,FAIR,0.7782,8160,3.4%,-0.5%
2018-04-21,26,FAIR,0.3257,9484,3.3%,11.4%
2018-04-26,13,FAIR,0.3383,9711,3.3%,11.8%
2018-04-20,57,FAIR,0.3236,9458,3.2%,12.4%
2018-02-07,22,FAIR,0.47200000000000003,8517,3.1%,-32.8%
2018-06-13,19,FAIR,0.23,10902,3.1%,-17.7%
2018-06-14,9,FAIR,0.2421,10911,3.1%,-13.8%
2018-06-12,11,FAIR,0.239,10883,3.0%,-14.1%
2018-04-19,59,FAIR,0.3026,9401,2.9%,4.7%
2018-06-11,104,FAIR,0.251,10872,2.9%,-8.2%
2018-01-28,39,FAIR,0.8247,8097,2.9%,-4.8%
2018-01-25,38,FAIR,0.7955,8001,2.9%,-12.1%
2018-01-26,26,FAIR,0.7778,8027,2.9%,-12.1%
2018-04-27,12,FAIR,0.3258,9723,2.8%,0.7%
2018-02-08,16,FAIR,0.5147,8533,2.8%,-10.0%
2018-01-27,31,FAIR,0.8022,8058,2.7%,-17.9%
2018-04-28,15,FAIR,0.3409,9738,2.7%,4.7%
2018-04-18,59,FAIR,0.2985,9342,2.6%,17.4%
2018-06-15,13,FAIR,0.2332,10924,2.5%,-16.1%
2018-04-29,10,FAIR,0.3429,9748,2.2%,6.6%
2018-04-17,49,FAIR,0.2887,9283,2.1%,15.2%
2018-06-10,51,FAIR,0.2469,10768,2.0%,-12.3%
2018-06-16,6,FAIR,0.237,10930,2.0%,-13.5%
2018-02-09,18,FAIR,0.5399,8551,2.0%,-2.1%
2018-02-10,18,FAIR,0.5213,8569,1.9%,-7.3%
2018-04-30,18,FAIR,0.3371,9766,1.8%,3.1%
2018-05-08,31,FAIR,0.3352,9957,1.7%,1.3%
2018-04-16,41,FAIR,0.2945,9234,1.7%,19.0%
2018-05-06,19,FAIR,0.3516,9912,1.7%,2.5%
2018-05-07,14,FAIR,0.3418,9926,1.6%,1.4%
2018-05-05,27,FAIR,0.3589,9893,1.6%,5.3%
2018-06-17,8,FAIR,0.2354,10938,1.6%,-4.7%
2018-06-09,58,FAIR,0.2739,10717,1.6%,-1.7%
2018-02-12,23,FAIR,0.5103,8606,1.5%,26.2%
2018-02-11,14,FAIR,0.4646,8583,1.5%,-8.0%
2018-02-13,14,FAIR,0.4785,8620,1.5%,5.8%
2018-05-04,23,FAIR,0.3536,9866,1.5%,8.5%
2018-05-27,9,FAIR,0.2684,10508,1.4%,-13.7%
2018-05-25,47,FAIR,0.2725,10489,1.4%,-9.3%
2018-05-26,10,FAIR,0.2681,10499,1.4%,-10.8%
2018-04-15,14,FAIR,0.3053,9193,1.4%,18.8%
2018-05-03,31,FAIR,0.3552,9843,1.4%,5.0%
2018-04-14,11,FAIR,0.2924,9179,1.4%,16.0%
2018-05-16,14,FAIR,0.3042,10318,1.3%,-10.5%
2018-02-14,11,FAIR,0.5276,8631,1.3%,11.8%
2018-04-13,35,FAIR,0.2879,9168,1.3%,19.1%
2018-02-15,13,FAIR,0.5689,8644,1.3%,10.5%
2018-05-22,14,FAIR,0.2913,10429,1.2%,-5.8%
2018-05-01,20,FAIR,0.3309,9786,1.2%,-6.0%
2018-05-21,57,FAIR,0.3069,10415,1.2%,-2.9%
2018-05-02,26,FAIR,0.3365,9812,1.2%,4.1%
2018-02-16,5,FAIR,0.5634,8649,1.1%,4.4%
2018-05-23,7,FAIR,0.2736,10436,1.1%,-10.1%
2018-05-24,6,FAIR,0.2765,10442,1.1%,-6.0%
2018-04-12,24,FAIR,0.289,9133,1.0%,16.8%
2018-02-17,9,FAIR,0.6021,8658,1.0%,15.5%
2018-06-08,71,FAIR,0.278,10659,1.0%,1.3%
2018-05-30,13,FAIR,0.2695,10541,1.0%,-1.5%
2018-05-31,4,FAIR,0.2735,10545,1.0%,-1.1%
2018-05-28,9,FAIR,0.2595,10517,1.0%,-15.4%
2018-05-17,14,FAIR,0.2942,10332,1.0%,-10.6%
2018-03-09,14,FAIR,0.3821,8859,1.0%,-23.3%
2018-02-18,7,FAIR,0.5611,8665,1.0%,20.8%
2018-05-29,11,FAIR,0.2725,10528,0.9%,-6.5%
2018-04-11,14,FAIR,0.2543,9109,0.9%,2.4%
2018-03-08,15,FAIR,0.3904,8845,0.9%,-16.0%
2018-05-18,9,FAIR,0.3006,10341,0.9%,-2.1%
2018-03-07,12,FAIR,0.4385,8830,0.9%,1.8%
2018-04-10,17,FAIR,0.2505,9095,0.9%,-7.6%
2018-03-04,10,FAIR,0.6204,8802,0.9%,53.6%
2018-05-19,10,FAIR,0.3007,10351,0.8%,-2.8%
2018-03-10,7,FAIR,0.4147,8866,0.8%,-30.1%
2018-03-05,9,FAIR,0.5938,8811,0.8%,36.9%
2018-03-06,7,FAIR,0.4972,8818,0.8%,1.7%
2018-04-09,14,FAIR,0.2475,9078,0.8%,-4.0%
2018-03-11,6,FAIR,0.4338,8872,0.8%,-30.1%
