,Count,Token,Price,7days_cum_sum,7days_acc_rate,price_change
2017-12-07,161,LEND,0.02362,5043,217.2%,26.0%
2018-01-26,10017,LEND,0.16899999999999998,73904,204.3%,-12.1%
2018-01-25,14682,LEND,0.1675,63887,171.7%,-8.5%
2018-01-27,12495,LEND,0.1711,86399,167.7%,-13.5%
2018-01-28,363,LEND,0.1666,86762,125.6%,4.8%
2018-01-29,327,LEND,0.17,87089,111.9%,7.5%
2018-01-24,5012,LEND,0.1669,49205,111.9%,-5.3%
2018-01-30,277,LEND,0.1401,87366,97.7%,-24.9%
2018-01-23,3103,LEND,0.1866,44193,93.0%,31.1%
2018-01-22,2635,LEND,0.1581,41090,82.1%,-14.4%
2017-12-18,607,LEND,0.08316,10725,80.2%,257.4%
2018-01-31,231,LEND,0.135,87597,78.0%,-19.1%
2017-12-08,239,LEND,0.02304,5282,77.1%,12.2%
2017-12-17,490,LEND,0.07263,10118,76.7%,214.0%
2017-12-16,433,LEND,0.043660000000000004,9628,76.7%,105.2%
2017-12-15,596,LEND,0.04091,9195,74.1%,77.6%
2018-01-21,6175,LEND,0.1589,38455,72.3%,-29.3%
2017-12-14,433,LEND,0.03632,8599,70.5%,53.8%
2017-12-13,405,LEND,0.02241,8166,67.3%,19.3%
2017-12-12,1808,LEND,0.02456,7761,64.5%,-5.6%
2017-12-09,168,LEND,0.02128,5450,49.8%,-8.8%
2018-01-20,7993,LEND,0.1979,32280,46.9%,-28.5%
2017-12-19,405,LEND,0.06502000000000001,11130,43.4%,164.7%
2017-12-10,275,LEND,0.02313,5725,41.3%,-16.7%
2017-12-20,258,LEND,0.06095,11388,39.5%,172.0%
2018-02-01,221,LEND,0.1087,87818,37.5%,-35.1%
2017-12-21,342,LEND,0.06782,11730,36.4%,86.7%
2017-12-11,228,LEND,0.02327,5953,33.7%,-23.3%
2017-12-22,241,LEND,0.052539999999999996,11971,30.2%,28.4%
2018-01-01,358,LEND,0.1646,16561,30.0%,128.3%
2017-12-31,410,LEND,0.1736,16203,30.0%,181.6%
2018-01-03,379,LEND,0.1876,17359,29.6%,138.1%
2018-01-02,419,LEND,0.1915,16980,29.5%,124.6%
2017-12-30,544,LEND,0.1633,15793,28.7%,145.1%
2017-12-23,296,LEND,0.06663,12267,27.4%,52.6%
2017-12-29,1278,LEND,0.2198,15249,27.4%,318.3%
2018-01-04,434,LEND,0.2454,17793,27.4%,111.2%
2017-12-24,194,LEND,0.06165,12461,23.2%,-15.1%
2018-01-09,563,LEND,0.3391,20479,20.6%,77.1%
2018-01-10,450,LEND,0.3195,20929,20.6%,70.3%
2018-01-08,530,LEND,0.3715,19916,20.3%,125.7%
2018-01-11,370,LEND,0.264,21299,19.7%,7.6%
2018-01-07,728,LEND,0.35600000000000004,19386,19.6%,105.1%
2018-01-05,400,LEND,0.2331,18193,19.3%,6.1%
2017-12-28,579,LEND,0.1162,13971,19.1%,71.3%
2018-02-02,192,LEND,0.1032,88010,19.1%,-38.9%
2018-01-12,313,LEND,0.2989,21612,18.8%,28.2%
2017-12-25,274,LEND,0.07211000000000001,12735,18.7%,-13.3%
2018-01-06,465,LEND,0.28,18658,18.1%,71.5%
2017-12-26,374,LEND,0.08528,13109,17.8%,31.2%
2018-01-13,363,LEND,0.2766,21975,17.8%,-1.2%
2017-12-27,283,LEND,0.0788,13392,17.6%,29.3%
2018-01-14,338,LEND,0.2247,22313,15.1%,-36.9%
2018-01-15,250,LEND,0.1848,22563,13.3%,-50.3%
2018-01-19,772,LEND,0.1923,24287,12.4%,-35.7%
2018-01-16,339,LEND,0.1423,22902,11.8%,-58.0%
2018-01-17,324,LEND,0.1762,23226,11.0%,-44.9%
2018-01-18,289,LEND,0.183,23515,10.4%,-30.7%
2020-08-30,445,LEND,0.7856,141877,3.4%,40.4%
2020-08-31,592,LEND,0.7414,142469,3.3%,1.2%
2020-08-17,633,LEND,0.5852,134272,3.3%,43.4%
2020-08-29,495,LEND,0.782,141432,3.3%,34.7%
2020-08-26,1011,LEND,0.8222,139774,3.3%,49.1%
2020-08-27,634,LEND,0.7687,140408,3.3%,20.0%
2020-08-18,584,LEND,0.5892,134856,3.3%,47.8%
2020-08-28,529,LEND,0.8077,140937,3.2%,48.0%
2020-09-01,696,LEND,0.7555,143165,3.2%,-2.5%
2020-08-16,494,LEND,0.5271,133639,3.1%,32.9%
2020-08-15,453,LEND,0.4733,133145,3.0%,15.1%
2020-08-13,582,LEND,0.4267,132374,2.9%,15.5%
2020-08-21,610,LEND,0.5459,136559,2.9%,19.1%
2020-08-14,318,LEND,0.4582,132692,2.9%,24.1%
2020-08-25,861,LEND,0.7747,138763,2.9%,31.5%
2020-08-22,355,LEND,0.5805,136914,2.8%,22.6%
2020-08-12,1214,LEND,0.441,131792,2.7%,38.6%
2020-08-24,676,LEND,0.7324,137902,2.7%,25.2%
2020-08-20,618,LEND,0.6407,135949,2.7%,50.2%
2020-08-19,475,LEND,0.5514,135331,2.7%,25.0%
2020-08-23,312,LEND,0.5595,137226,2.7%,6.1%
2020-07-21,298,LEND,0.3049,123805,2.2%,28.6%
2020-07-23,290,LEND,0.2864,124379,2.2%,3.6%
2020-07-22,284,LEND,0.3114,124089,2.2%,22.0%
2020-07-20,496,LEND,0.3183,123507,2.2%,49.1%
2018-02-03,183,LEND,0.1114,88193,2.1%,-34.9%
2020-07-24,248,LEND,0.3081,124627,2.0%,6.2%
2020-07-25,271,LEND,0.2922,124898,2.0%,-6.0%
2020-08-11,602,LEND,0.3986,130578,2.0%,24.7%
2020-07-19,579,LEND,0.3538,123011,1.9%,53.6%
2020-07-31,310,LEND,0.3065,126960,1.9%,-0.5%
2020-08-01,269,LEND,0.3116,127229,1.9%,6.6%
2020-08-02,282,LEND,0.3306,127511,1.8%,20.8%
2020-07-30,393,LEND,0.33,126650,1.8%,15.2%
2018-02-04,148,LEND,0.08971,88341,1.8%,-46.2%
2020-08-03,265,LEND,0.3092,127776,1.8%,29.6%
2020-07-18,297,LEND,0.3108,122432,1.8%,37.3%
2020-07-26,300,LEND,0.2736,125198,1.8%,-22.7%
2020-07-17,427,LEND,0.29,122135,1.8%,50.9%
2020-07-29,388,LEND,0.3158,126257,1.7%,1.4%
2020-08-04,287,LEND,0.3197,128063,1.7%,12.1%
2020-08-10,334,LEND,0.4081,129976,1.7%,32.0%
2020-08-09,333,LEND,0.3965,129642,1.7%,19.9%
2020-07-28,342,LEND,0.2852,125869,1.7%,-6.5%
2020-07-27,329,LEND,0.2386,125527,1.6%,-25.0%
2020-08-08,361,LEND,0.4111,129309,1.6%,31.9%
2018-02-20,165,LEND,0.1121,91241,1.6%,40.4%
2018-02-05,149,LEND,0.06594,88490,1.6%,-61.2%
2020-08-05,221,LEND,0.3182,128284,1.6%,0.8%
2018-02-21,135,LEND,0.1046,91376,1.6%,5.0%
2018-02-19,194,LEND,0.1306,91076,1.6%,53.9%
2020-08-07,351,LEND,0.3692,128948,1.6%,20.5%
