,Count,Token,Price,7days_cum_sum,7days_acc_rate,price_change
2017-09-13,129,MDA,2.016,2010,920.3%,29.3%
2017-09-14,79,MDA,1.6740000000000002,2089,302.5%,-40.6%
2017-09-15,39,MDA,2.162,2128,122.4%,-18.0%
2017-09-16,63,MDA,75201.8,2191,80.3%,2825972.9%
2017-09-17,79,MDA,3.2560000000000002,2270,53.5%,55.0%
2017-09-18,89,MDA,3.273,2359,37.8%,54.5%
2017-10-07,74,MDA,2.605,3844,36.0%,11.6%
2017-10-08,49,MDA,2.386,3893,35.9%,-19.7%
2017-10-09,41,MDA,2.373,3934,35.5%,-10.9%
2017-10-06,97,MDA,2.6510000000000002,3770,35.0%,23.8%
2017-10-10,45,MDA,2.089,3979,33.6%,-28.3%
2017-10-05,647,MDA,3.325,3673,33.0%,45.1%
2017-10-11,36,MDA,2.029,4015,32.7%,-30.4%
2017-09-19,42,MDA,3.2539999999999996,2401,27.6%,55.6%
2017-09-20,35,MDA,2.325,2436,21.2%,15.3%
2017-09-21,57,MDA,2.256,2493,19.3%,34.8%
2017-09-22,31,MDA,2.1830000000000003,2524,18.6%,1.0%
2017-09-23,46,MDA,2.459,2570,17.3%,-100.0%
2017-09-24,33,MDA,2.261,2603,14.7%,-30.6%
2017-09-25,45,MDA,2.344,2648,12.3%,-28.4%
2017-09-27,41,MDA,2.449,2727,11.9%,5.3%
2017-09-26,38,MDA,2.306,2686,11.9%,-29.1%
2017-10-04,47,MDA,2.917,3026,11.0%,19.1%
2017-10-03,75,MDA,2.912,2979,10.9%,26.3%
2017-09-28,35,MDA,2.291,2762,10.8%,1.6%
2017-09-29,30,MDA,2.142,2792,10.6%,-1.9%
2017-10-12,40,MDA,1.624,4055,10.4%,-51.2%
2017-10-01,38,MDA,2.972,2865,10.1%,31.4%
2017-09-30,35,MDA,2.334,2827,10.0%,-5.1%
2017-10-02,39,MDA,2.662,2904,9.7%,13.6%
2017-10-13,47,MDA,1.415,4102,8.8%,-46.6%
2017-10-14,35,MDA,1.749,4137,7.6%,-32.9%
2017-11-23,48,MDA,1.845,5417,7.6%,47.6%
2017-11-25,33,MDA,1.9240000000000002,5483,7.3%,47.1%
2017-11-22,67,MDA,1.9909999999999999,5369,7.3%,62.4%
2017-11-24,33,MDA,1.993,5450,7.2%,60.0%
2017-10-15,33,MDA,1.558,4170,7.1%,-34.7%
2017-11-26,33,MDA,1.9469999999999998,5516,7.1%,50.7%
2017-11-27,30,MDA,1.848,5546,6.8%,21.2%
2017-12-22,58,MDA,1.921,6608,6.7%,36.9%
2017-11-21,108,MDA,1.93,5302,6.4%,45.8%
2017-10-16,16,MDA,1.581,4186,6.4%,-33.4%
2017-12-21,94,MDA,2.339,6550,6.4%,51.8%
2017-12-23,24,MDA,2.0469999999999997,6632,6.3%,18.3%
2017-11-09,41,MDA,1.694,4862,5.8%,25.9%
2017-12-20,41,MDA,2.2119999999999997,6456,5.8%,57.8%
2017-10-17,23,MDA,1.505,4209,5.8%,-28.0%
2017-12-19,51,MDA,1.869,6415,5.8%,9.9%
2017-12-24,36,MDA,2.146,6668,5.7%,10.7%
2017-12-18,57,MDA,2.2969999999999997,6364,5.6%,53.6%
2017-11-10,37,MDA,1.382,4899,5.6%,-17.5%
2017-10-18,26,MDA,1.465,4235,5.5%,-27.8%
2017-11-04,41,MDA,1.875,4682,5.5%,47.6%
2017-12-25,41,MDA,2.428,6709,5.4%,5.7%
2017-11-28,43,MDA,1.58,5589,5.4%,-18.1%
2017-11-08,49,MDA,1.5919999999999999,4821,5.3%,12.7%
2017-12-26,47,MDA,2.162,6756,5.3%,15.7%
2017-12-27,38,MDA,2.116,6794,5.2%,-4.3%
2017-11-05,30,MDA,1.689,4712,5.2%,23.5%
2017-11-29,58,MDA,1.367,5647,5.2%,-31.3%
2017-11-07,37,MDA,1.5730000000000002,4772,5.1%,7.0%
2017-12-17,67,MDA,1.939,6307,5.0%,49.7%
2017-10-19,24,MDA,1.465,4259,5.0%,-9.8%
2017-11-11,15,MDA,1.31,4914,5.0%,-30.1%
2017-11-06,23,MDA,1.629,4735,4.9%,6.6%
2017-11-12,26,MDA,1.182,4940,4.8%,-30.0%
2017-12-04,44,MDA,1.3869999999999998,5814,4.8%,-24.9%
2017-11-30,31,MDA,1.406,5678,4.8%,-23.8%
2017-11-03,45,MDA,1.675,4641,4.8%,35.0%
2017-11-20,43,MDA,1.525,5194,4.8%,21.2%
2017-11-13,17,MDA,1.258,4957,4.7%,-22.8%
2017-12-03,37,MDA,1.521,5770,4.6%,-21.9%
2017-12-01,22,MDA,1.4140000000000001,5700,4.6%,-29.1%
2017-12-02,33,MDA,1.3330000000000002,5733,4.6%,-30.7%
2018-01-08,43,MDA,3.2880000000000003,7257,4.5%,42.3%
2018-01-06,35,MDA,4.031000000000001,7177,4.5%,121.8%
2018-01-07,37,MDA,3.94,7214,4.5%,76.3%
2017-12-05,22,MDA,1.43,5836,4.4%,-9.5%
2018-01-05,54,MDA,3.605,7142,4.4%,86.0%
2017-12-09,36,MDA,1.449,5985,4.4%,8.7%
2017-11-14,24,MDA,1.324,4981,4.4%,-15.8%
2017-12-08,31,MDA,1.371,5949,4.4%,-3.0%
2018-01-09,33,MDA,3.157,7290,4.4%,40.0%
2017-10-20,20,MDA,1.331,4279,4.3%,-5.9%
2017-11-01,36,MDA,1.412,4577,4.3%,8.9%
2017-11-19,43,MDA,1.2919999999999998,5151,4.3%,9.3%
2017-11-02,19,MDA,1.345,4596,4.3%,1.6%
2017-12-16,47,MDA,1.7309999999999999,6240,4.3%,19.5%
2017-12-07,48,MDA,1.348,5918,4.2%,-4.1%
2017-12-15,36,MDA,1.403,6193,4.1%,2.3%
2017-12-10,19,MDA,1.295,6004,4.1%,-14.9%
2017-12-14,54,MDA,1.541,6157,4.0%,14.3%
2018-01-04,57,MDA,3.44,7088,4.0%,73.1%
2017-12-28,19,MDA,1.9869999999999999,6813,4.0%,-15.0%
2018-01-10,21,MDA,3.603,7311,4.0%,40.9%
2017-12-13,38,MDA,1.402,6103,4.0%,-2.4%
2017-12-06,34,MDA,1.4369999999999998,5870,3.9%,5.1%
2017-11-18,24,MDA,1.308,5108,3.9%,-0.2%
2017-10-21,21,MDA,1.254,4300,3.9%,-28.3%
2017-10-31,26,MDA,1.47,4541,3.9%,17.5%
2017-12-12,40,MDA,1.7,6065,3.9%,18.9%
2017-10-30,35,MDA,1.528,4515,3.9%,21.5%
2017-11-15,25,MDA,1.226,5006,3.8%,-23.0%
2017-10-24,24,MDA,1.251,4369,3.8%,-16.9%
2017-10-23,26,MDA,1.258,4345,3.8%,-20.4%
2017-11-17,48,MDA,1.246,5084,3.8%,-9.8%
2017-10-29,40,MDA,1.368,4480,3.7%,8.5%
2017-10-25,20,MDA,1.297,4389,3.6%,-11.5%
2017-12-11,21,MDA,1.495,6025,3.6%,7.8%
2017-11-16,30,MDA,1.25,5036,3.6%,-26.2%
2017-12-30,28,MDA,1.817,6869,3.6%,-11.2%
2017-10-22,19,MDA,1.261,4319,3.6%,-19.1%
2018-01-11,29,MDA,2.7880000000000003,7340,3.6%,-19.0%
2017-12-31,36,MDA,2.235,6905,3.6%,4.1%
2017-12-29,28,MDA,1.9380000000000002,6841,3.5%,0.9%
2017-10-26,19,MDA,1.324,4408,3.5%,-9.6%
2018-01-14,50,MDA,3.623,7466,3.5%,-8.0%
2018-01-03,46,MDA,2.5580000000000003,7031,3.5%,20.9%
2018-01-01,38,MDA,2.31,6943,3.5%,-4.9%
2017-10-27,20,MDA,1.2409999999999999,4428,3.5%,-6.8%
2018-01-02,42,MDA,2.255,6985,3.4%,4.3%
2018-01-13,57,MDA,4.979,7416,3.3%,23.5%
2018-01-15,29,MDA,2.8539999999999996,7495,3.3%,-13.2%
2017-10-28,12,MDA,1.27,4440,3.3%,1.3%
2018-01-17,27,MDA,1.9169999999999998,7546,3.2%,-46.8%
2018-01-16,24,MDA,1.871,7519,3.1%,-40.7%
2018-01-19,21,MDA,2.2430000000000003,7587,3.1%,-28.4%
2018-01-18,20,MDA,1.915,7566,3.1%,-31.3%
2018-01-12,19,MDA,3.1319999999999997,7359,3.0%,-13.1%
2018-10-15,32,MDA,2.197,9145,2.9%,163.1%
2018-10-16,23,MDA,1.7730000000000001,9168,2.9%,48.0%
2018-10-14,34,MDA,2.069,9113,2.8%,248.4%
2018-01-20,28,MDA,2.73,7615,2.7%,-45.2%
2018-10-17,20,MDA,1.9509999999999998,9188,2.6%,41.8%
2019-04-12,21,MDA,1.179,10334,2.6%,-15.1%
2019-04-13,2,MDA,1.13,10336,2.5%,-22.2%
2018-10-18,26,MDA,1.7930000000000001,9214,2.5%,21.7%
2018-10-13,69,MDA,2.126,9079,2.5%,386.4%
2019-04-11,46,MDA,1.151,10313,2.4%,-17.1%
2018-10-19,9,MDA,1.956,9223,2.4%,19.3%
2018-01-21,16,MDA,2.29,7631,2.2%,-36.8%
2018-01-22,14,MDA,1.992,7645,2.0%,-30.2%
2019-04-10,57,MDA,1.263,10267,2.0%,-1.0%
2018-01-23,15,MDA,1.9480000000000002,7660,1.9%,4.1%
2018-10-12,23,MDA,1.639,9010,1.7%,274.5%
2018-01-24,15,MDA,2.116,7675,1.7%,10.4%
2018-10-20,6,MDA,1.935,9229,1.7%,-9.0%
2018-01-25,16,MDA,2.005,7691,1.7%,4.7%
2018-02-07,11,MDA,1.156,7868,1.6%,-35.2%
2018-02-06,20,MDA,1.258,7857,1.5%,-27.5%
2018-01-26,11,MDA,2.167,7702,1.5%,-3.4%
2018-10-11,34,MDA,1.473,8987,1.5%,248.9%
2018-02-05,16,MDA,0.9927,7837,1.4%,-51.3%
2019-04-09,16,MDA,1.425,10210,1.4%,5.1%
2019-03-13,25,MDA,1.2309999999999999,9953,1.4%,46.4%
2019-03-12,9,MDA,1.103,9928,1.4%,36.2%
2019-04-15,1,MDA,1.107,10337,1.4%,-15.9%
2019-03-11,73,MDA,1.15,9919,1.4%,56.1%
2019-03-14,10,MDA,1.136,9963,1.4%,33.8%
2019-03-15,5,MDA,1.161,9968,1.4%,39.5%
2019-03-16,2,MDA,1.097,9970,1.3%,20.4%
2018-10-21,5,MDA,1.7630000000000001,9234,1.3%,-14.8%
2019-04-08,111,MDA,1.3159999999999998,10194,1.3%,17.6%
2018-02-04,11,MDA,1.305,7821,1.3%,-36.7%
2019-03-17,2,MDA,1.095,9972,1.3%,-13.0%
2018-01-27,10,MDA,2.121,7712,1.3%,-22.3%
2018-02-03,13,MDA,1.505,7810,1.3%,-29.0%
2019-04-16,2,MDA,1.15,10339,1.3%,-19.3%
2018-02-02,15,MDA,1.393,7797,1.2%,-35.7%
2018-02-01,37,MDA,1.379,7782,1.2%,-31.2%
2018-01-28,8,MDA,2.063,7720,1.2%,-9.9%
2018-02-08,2,MDA,1.34,7870,1.1%,-2.8%
2018-02-09,11,MDA,1.383,7881,1.1%,-0.7%
2018-10-22,7,MDA,1.672,9241,1.0%,-23.9%
2018-01-29,5,MDA,2.037,7725,1.0%,2.3%
2018-01-30,13,MDA,1.734,7738,1.0%,-11.0%
2018-12-02,6,MDA,0.7294,9453,1.0%,5.1%
2018-02-10,8,MDA,1.33,7889,1.0%,-11.6%
2018-12-03,4,MDA,0.807,9457,1.0%,5.0%
2018-12-01,13,MDA,1.002,9447,1.0%,66.4%
2018-02-11,8,MDA,1.242,7897,1.0%,-4.8%
2018-04-28,10,MDA,1.197,8361,0.9%,9.3%
2018-04-27,12,MDA,1.082,8351,0.9%,-8.9%
2018-04-30,7,MDA,1.263,8375,0.9%,2.8%
2018-01-31,7,MDA,1.784,7745,0.9%,-15.7%
2018-12-04,2,MDA,0.7827,9459,0.9%,-21.6%
2018-04-29,7,MDA,1.217,8368,0.9%,4.5%
2018-04-26,15,MDA,1.172,8339,0.9%,5.0%
2018-02-12,7,MDA,1.297,7904,0.9%,30.7%
2018-11-30,20,MDA,0.9315,9434,0.8%,38.7%
2018-10-23,4,MDA,1.545,9245,0.8%,-12.9%
2018-05-02,11,MDA,1.273,8389,0.8%,16.1%
2018-04-25,9,MDA,1.0959999999999999,8324,0.8%,8.9%
2018-05-11,12,MDA,0.9329999999999999,8468,0.8%,-24.5%
2018-05-01,3,MDA,1.213,8378,0.8%,-4.8%
2018-05-08,9,MDA,1.138,8440,0.7%,-6.2%
2018-04-24,16,MDA,1.274,8315,0.7%,36.0%
2019-03-10,8,MDA,1.2590000000000001,9846,0.7%,49.6%
2019-04-17,3,MDA,1.165,10342,0.7%,-7.8%
2018-05-03,9,MDA,1.2819999999999998,8398,0.7%,9.4%
2018-10-24,8,MDA,1.595,9253,0.7%,-18.2%
2018-05-13,5,MDA,0.9853,8481,0.7%,-20.6%
2018-05-10,12,MDA,1.043,8456,0.7%,-18.6%
2018-05-12,8,MDA,0.9058,8476,0.7%,-31.3%
2018-02-13,7,MDA,1.2309999999999999,7911,0.7%,-2.1%
2018-04-19,7,MDA,1.1159999999999999,8267,0.7%,28.5%
2018-05-05,14,MDA,1.318,8418,0.7%,10.1%
2018-05-07,9,MDA,1.175,8431,0.7%,-7.0%
2018-12-05,4,MDA,0.679,9463,0.7%,-37.1%
2018-05-09,4,MDA,1.077,8444,0.7%,-15.4%
2019-03-08,7,MDA,0.8322,9834,0.7%,-12.0%
2018-05-14,5,MDA,0.98,8486,0.7%,-16.6%
2018-11-29,13,MDA,1.067,9414,0.7%,69.1%
2018-12-20,16,MDA,1.045,9570,0.7%,39.7%
2018-05-06,4,MDA,1.2409999999999999,8422,0.6%,2.0%
2019-03-07,15,MDA,0.8493,9827,0.6%,-8.1%
2018-03-11,8,MDA,1.04,8065,0.6%,-17.4%
2018-05-04,6,MDA,1.236,8404,0.6%,14.2%
2018-04-17,4,MDA,0.9371,8254,0.6%,32.6%
2018-10-09,25,MDA,1.198,8910,0.6%,192.7%
2018-12-18,8,MDA,0.9919,9550,0.6%,51.0%
2018-02-27,12,MDA,1.285,7990,0.6%,-4.2%
2018-03-26,8,MDA,0.8592,8151,0.6%,-1.5%
2018-03-10,5,MDA,0.9721,8057,0.6%,-22.5%
2018-03-12,2,MDA,0.9277,8067,0.6%,-26.3%
2018-02-15,3,MDA,1.392,7919,0.6%,3.9%
2018-04-16,4,MDA,0.9397,8250,0.6%,36.1%
2019-03-25,4,MDA,1.125,10036,0.6%,8.0%
2018-03-27,1,MDA,0.8397,8152,0.6%,-6.6%
2018-02-14,5,MDA,1.3659999999999999,7916,0.6%,18.2%
2019-03-01,6,MDA,0.9458,9770,0.6%,23.4%
2018-05-15,5,MDA,0.995,8491,0.6%,-12.6%
2019-03-24,6,MDA,1.149,10032,0.6%,4.9%
2018-11-28,25,MDA,1.079,9401,0.6%,31.1%
2018-03-13,2,MDA,0.8866,8069,0.6%,-25.4%
2018-04-22,12,MDA,1.165,8295,0.6%,17.6%
2018-04-23,4,MDA,1.229,8299,0.6%,30.8%
2018-03-09,14,MDA,0.9651,8052,0.6%,-25.9%
2018-03-14,3,MDA,0.7946,8072,0.6%,-22.2%
2018-04-15,11,MDA,0.9908,8246,0.6%,38.6%
2018-04-20,8,MDA,1.188,8275,0.6%,28.0%
2018-04-21,8,MDA,1.095,8283,0.6%,21.7%
2018-03-22,10,MDA,0.8968,8123,0.6%,16.2%
2018-03-28,8,MDA,0.8388,8160,0.6%,-7.9%
2019-02-28,7,MDA,0.924,9764,0.6%,23.9%
2018-12-06,5,MDA,0.4851,9468,0.6%,-54.5%
2018-03-24,9,MDA,0.8671,8133,0.6%,7.8%
2018-05-16,1,MDA,0.9605,8492,0.6%,-10.8%
2018-03-30,8,MDA,0.7196,8170,0.6%,-19.5%
2018-03-31,9,MDA,0.7318,8179,0.6%,-15.6%
2019-03-06,23,MDA,0.8408,9812,0.6%,-24.5%
2019-03-23,10,MDA,1.168,10026,0.6%,6.5%
2019-03-26,3,MDA,1.165,10039,0.6%,23.5%
2018-12-17,6,MDA,0.9058,9542,0.6%,38.6%
2018-02-16,6,MDA,1.4580000000000002,7925,0.6%,5.4%
2018-12-22,6,MDA,0.9819,9580,0.6%,18.3%
2018-03-25,10,MDA,0.9613,8143,0.6%,20.0%
2019-03-04,9,MDA,0.7368,9783,0.6%,-17.7%
2019-03-18,2,MDA,1.042,9974,0.6%,-9.4%
