,Count,Token,Price,7days_cum_sum,7days_acc_rate,price_change
2018-02-28,82,MWAT,0.06131,1486,2601.8%,17.7%
2018-03-01,88,MWAT,0.0635,1574,1245.3%,25.3%
2018-03-02,97,MWAT,0.056470000000000006,1671,89.7%,-1.4%
2018-08-28,2861,MWAT,0.02893,9998,61.8%,22.5%
2018-08-29,59,MWAT,0.02835,10057,60.8%,20.4%
2018-08-30,26,MWAT,0.026619999999999998,10083,59.4%,16.3%
2018-08-31,5,MWAT,0.02901,10088,56.2%,-11.9%
2018-09-01,4,MWAT,0.027469999999999998,10092,54.4%,-13.1%
2018-09-02,18,MWAT,0.02723,10110,53.3%,-7.4%
2018-03-03,53,MWAT,0.0599,1724,46.7%,5.7%
2018-03-04,76,MWAT,0.06054,1800,45.4%,2.9%
2018-09-03,28,MWAT,0.028030000000000003,10138,42.0%,-8.1%
2018-03-05,64,MWAT,0.05861,1864,39.6%,-2.1%
2018-03-06,66,MWAT,0.049760000000000006,1930,37.5%,-18.4%
2018-03-07,67,MWAT,0.04732,1997,34.4%,-22.8%
2018-03-08,45,MWAT,0.04473,2042,29.7%,-29.6%
2018-03-09,42,MWAT,0.04216,2084,24.7%,-25.3%
2018-03-10,53,MWAT,0.03821,2137,24.0%,-36.2%
2018-03-11,49,MWAT,0.044660000000000005,2186,21.4%,-26.2%
2018-03-12,41,MWAT,0.04384,2227,19.5%,-25.2%
2018-03-13,70,MWAT,0.0414,2297,19.0%,-16.8%
2018-03-14,54,MWAT,0.03734,2351,17.7%,-21.1%
2018-03-15,47,MWAT,0.03663,2398,17.4%,-18.1%
2018-08-27,543,MWAT,0.0305,7137,17.4%,54.3%
2018-03-16,38,MWAT,0.035789999999999995,2436,16.9%,-15.1%
2018-03-17,22,MWAT,0.031830000000000004,2458,15.0%,-16.7%
2018-03-18,51,MWAT,0.029339999999999998,2509,14.8%,-34.3%
2018-03-19,25,MWAT,0.032780000000000004,2534,13.8%,-25.2%
2018-04-28,47,MWAT,0.07301,3799,12.7%,72.4%
2018-04-26,49,MWAT,0.058210000000000005,3706,12.7%,60.1%
2018-04-27,46,MWAT,0.06176,3752,12.6%,54.7%
2018-04-25,60,MWAT,0.04713,3657,12.6%,52.7%
2018-03-20,47,MWAT,0.0334,2581,12.4%,-19.3%
2018-04-24,64,MWAT,0.058379999999999994,3597,12.0%,90.6%
2018-04-29,49,MWAT,0.06617,3848,11.2%,28.2%
2018-03-21,34,MWAT,0.03404,2615,11.2%,-8.8%
2018-04-23,74,MWAT,0.05604,3533,10.9%,96.3%
2018-04-30,47,MWAT,0.0656,3895,10.2%,17.1%
2018-03-22,27,MWAT,0.03304,2642,10.2%,-9.8%
2018-03-24,30,MWAT,0.029910000000000003,2699,9.8%,-6.0%
2018-05-01,50,MWAT,0.05702,3945,9.7%,-2.3%
2018-03-23,27,MWAT,0.030560000000000004,2669,9.6%,-14.6%
2018-04-22,89,MWAT,0.051629999999999995,3459,9.5%,60.0%
2018-05-02,40,MWAT,0.05624,3985,9.0%,19.3%
2018-05-03,44,MWAT,0.06221,4029,8.7%,6.9%
2018-08-26,56,MWAT,0.0294,6594,8.7%,32.6%
2018-03-25,25,MWAT,0.02997,2724,8.6%,2.1%
2018-03-26,24,MWAT,0.026989999999999997,2748,8.4%,-17.7%
2018-05-04,31,MWAT,0.05795,4060,8.2%,-6.2%
2018-05-05,43,MWAT,0.06287999999999999,4103,8.0%,-13.9%
2018-08-25,81,MWAT,0.03161,6538,8.0%,50.0%
2018-04-21,39,MWAT,0.04236,3370,7.5%,48.3%
2018-05-06,20,MWAT,0.05832999999999999,4123,7.1%,-11.8%
2018-03-27,14,MWAT,0.02509,2762,7.0%,-24.9%
2018-08-24,131,MWAT,0.03292,6457,6.8%,48.1%
2018-05-07,36,MWAT,0.055229999999999994,4159,6.8%,-15.8%
2018-04-20,43,MWAT,0.03993,3331,6.8%,33.1%
2018-07-22,11,MWAT,0.020640000000000002,5776,6.5%,-3.0%
2018-07-26,10,MWAT,0.01973,5814,6.5%,-15.5%
2018-07-27,7,MWAT,0.02001,5821,6.5%,-1.1%
2018-07-25,13,MWAT,0.02083,5804,6.5%,-13.0%
2018-07-23,6,MWAT,0.0205,5782,6.4%,-8.5%
2018-07-21,298,MWAT,0.02107,5765,6.4%,2.0%
2018-07-24,9,MWAT,0.022680000000000002,5791,6.4%,-5.1%
2018-04-19,39,MWAT,0.03636,3288,6.3%,15.4%
2018-05-08,30,MWAT,0.04995,4189,6.2%,-12.4%
2018-04-08,20,MWAT,0.0246,3014,6.2%,6.8%
2018-04-05,24,MWAT,0.02361,2963,6.2%,5.5%
2018-05-09,37,MWAT,0.0471,4226,6.0%,-16.3%
2018-03-28,11,MWAT,0.02493,2773,6.0%,-26.8%
2018-04-18,36,MWAT,0.030860000000000002,3249,6.0%,19.7%
2018-04-04,30,MWAT,0.026160000000000003,2939,6.0%,4.9%
2018-04-07,18,MWAT,0.02345,2994,6.0%,2.9%
2018-04-06,13,MWAT,0.02248,2976,5.9%,2.5%
2018-05-11,52,MWAT,0.04074,4297,5.8%,-29.7%
2018-04-09,19,MWAT,0.024059999999999998,3033,5.6%,-5.6%
2018-03-29,18,MWAT,0.02238,2791,5.6%,-32.3%
2018-04-17,27,MWAT,0.03063,3213,5.4%,25.1%
2018-05-10,19,MWAT,0.04559,4245,5.4%,-26.7%
2018-04-03,38,MWAT,0.02808,2909,5.3%,11.9%
2018-03-30,18,MWAT,0.02194,2809,5.2%,-28.2%
2018-05-15,34,MWAT,0.04311,4405,5.2%,-13.7%
2018-05-13,22,MWAT,0.04952,4335,5.1%,-15.1%
2018-05-12,16,MWAT,0.04703,4313,5.1%,-25.2%
