,Count,Token,Price,7days_cum_sum,7days_acc_rate,price_change
2017-06-20,404,MYST,2.734,1968,716.6%,0.8%
2017-06-21,96,MYST,2.026,2064,236.2%,-9.1%
2017-06-22,131,MYST,2.103,2195,201.9%,0.1%
2017-06-23,165,MYST,2.265,2360,190.6%,4.3%
2017-06-24,106,MYST,2.169,2466,171.3%,-7.5%
2017-06-25,93,MYST,1.8780000000000001,2559,154.6%,-16.5%
2017-06-26,58,MYST,1.6369999999999998,2617,67.3%,-50.7%
2017-06-27,52,MYST,1.956,2669,35.6%,-28.5%
2017-06-28,70,MYST,1.787,2739,32.7%,-11.8%
2017-06-29,86,MYST,1.6909999999999998,2825,28.7%,-19.6%
2017-06-30,66,MYST,1.482,2891,22.5%,-34.6%
2017-07-01,45,MYST,1.399,2936,19.1%,-35.5%
2017-07-02,48,MYST,1.355,2984,16.6%,-27.8%
2017-08-13,73,MYST,2.04,4699,15.8%,33.4%
2017-07-03,37,MYST,1.3519999999999999,3021,15.4%,-17.4%
2017-08-12,120,MYST,2.24,4626,15.4%,55.8%
2017-07-04,40,MYST,1.359,3061,14.7%,-30.5%
2017-08-10,70,MYST,1.4340000000000002,4442,14.5%,22.9%
2017-08-11,64,MYST,1.839,4506,14.0%,47.1%
2017-08-14,79,MYST,1.8980000000000001,4778,13.8%,22.2%
2017-08-09,57,MYST,1.496,4372,13.8%,64.5%
2017-07-05,43,MYST,1.275,3104,13.3%,-28.7%
2017-08-08,117,MYST,1.525,4315,13.2%,78.8%
2017-08-15,30,MYST,1.685,4808,11.4%,10.5%
2017-08-16,51,MYST,1.8780000000000001,4859,11.1%,25.5%
2017-07-06,30,MYST,1.297,3134,10.9%,-23.3%
2018-01-29,179,MYST,0.7759,10648,10.9%,-22.9%
2017-08-07,139,MYST,1.5530000000000002,4198,10.9%,98.7%
2018-01-30,90,MYST,0.6766,10738,10.8%,-31.0%
2017-08-17,58,MYST,1.781,4917,10.7%,24.2%
2017-08-18,42,MYST,1.6130000000000002,4959,10.1%,-12.3%
2018-01-31,44,MYST,0.6719,10782,10.0%,-36.6%
2018-01-28,206,MYST,0.7903,10469,9.9%,-25.7%
2017-07-07,35,MYST,1.062,3169,9.6%,-28.3%
2017-07-08,29,MYST,1.0190000000000001,3198,8.9%,-27.2%
2017-07-09,51,MYST,0.804,3249,8.9%,-40.7%
2017-07-10,35,MYST,0.5914,3284,8.7%,-56.3%
2018-01-27,151,MYST,0.8282,10263,8.5%,-35.8%
2017-07-11,35,MYST,0.5694,3319,8.4%,-58.1%
2018-02-01,53,MYST,0.6214,10835,8.4%,-26.7%
2017-08-19,29,MYST,1.6340000000000001,4988,7.8%,-27.1%
2017-08-06,50,MYST,1.5290000000000001,4059,7.8%,99.5%
2017-07-12,25,MYST,0.7029,3344,7.7%,-44.9%
2018-01-26,116,MYST,0.9256,10112,7.7%,-26.5%
2017-07-13,29,MYST,0.7298,3373,7.6%,-43.7%
2018-01-25,196,MYST,0.8475,9996,7.6%,-26.3%
2018-02-02,45,MYST,0.6081,10880,7.6%,-34.3%
2018-01-20,73,MYST,1.291,9463,7.3%,-46.3%
2017-08-05,55,MYST,1.4380000000000002,4009,7.2%,83.7%
2017-07-14,25,MYST,0.6308,3398,7.2%,-40.6%
2018-01-24,112,MYST,1.06,9800,7.0%,9.0%
2018-01-19,101,MYST,1.2590000000000001,9390,7.0%,-60.8%
2017-08-20,29,MYST,1.492,5017,6.8%,-26.9%
2017-09-04,52,MYST,1.166,5654,6.7%,-17.1%
2017-09-05,52,MYST,1.232,5706,6.6%,-14.0%
2017-07-15,11,MYST,0.5082,3409,6.6%,-50.1%
2018-01-21,65,MYST,1.064,9528,6.5%,-31.9%
2017-09-06,48,MYST,1.33,5754,6.5%,-5.9%
2018-02-03,45,MYST,0.6291,10925,6.5%,-24.0%
2017-08-04,76,MYST,1.25,3954,6.4%,56.0%
2018-01-23,87,MYST,0.9804,9688,6.4%,15.4%
2017-09-03,31,MYST,1.492,5602,6.3%,0.7%
2017-09-02,39,MYST,1.506,5571,6.3%,2.5%
2018-01-22,73,MYST,1.0070000000000001,9601,6.2%,-30.3%
2017-09-01,62,MYST,1.8719999999999999,5532,6.2%,41.9%
2017-09-07,54,MYST,1.284,5808,6.2%,-28.9%
2018-01-18,133,MYST,1.15,9289,6.1%,-54.3%
2017-09-08,51,MYST,1.083,5859,5.9%,-42.1%
2017-09-10,33,MYST,1.008,5925,5.8%,-32.4%
2017-09-09,33,MYST,1.045,5892,5.8%,-30.6%
2017-08-22,48,MYST,1.3969999999999998,5083,5.7%,-17.1%
2017-08-31,65,MYST,1.807,5470,5.7%,22.8%
2017-08-23,49,MYST,1.4469999999999998,5132,5.6%,-22.9%
2017-07-16,17,MYST,0.4705,3426,5.4%,-41.5%
2017-08-21,18,MYST,1.41,5035,5.4%,-25.7%
2017-08-03,35,MYST,1.167,3878,5.4%,30.9%
2017-09-11,31,MYST,0.9958,5956,5.3%,-14.6%
2017-08-30,54,MYST,1.4140000000000001,5405,5.3%,-2.3%
2017-07-29,23,MYST,0.7826,3738,5.3%,-10.6%
2017-08-28,32,MYST,1.406,5301,5.3%,-0.3%
2017-08-29,50,MYST,1.433,5351,5.3%,2.6%
2017-08-24,43,MYST,1.4709999999999999,5175,5.2%,-17.4%
2017-07-28,34,MYST,0.8013,3715,5.1%,12.2%
2017-08-02,30,MYST,0.9092,3843,5.1%,11.2%
2017-07-30,27,MYST,0.7663,3765,5.1%,-21.7%
2017-07-17,24,MYST,0.5606,3450,5.1%,-5.2%
2017-08-26,31,MYST,1.469,5240,5.1%,-10.1%
2017-08-25,34,MYST,1.319,5209,5.0%,-18.2%
2017-08-27,29,MYST,1.482,5269,5.0%,-0.7%
2017-08-01,26,MYST,0.8529,3813,5.0%,11.6%
2017-07-19,36,MYST,0.5836,3508,4.9%,-17.0%
2017-07-31,22,MYST,0.7817,3787,4.9%,-19.6%
2017-09-12,27,MYST,0.9798,5983,4.9%,-20.5%
2018-01-17,51,MYST,0.9725,9156,4.8%,-69.4%
2018-02-04,33,MYST,0.6555,10958,4.7%,-17.1%
2017-07-27,24,MYST,0.8918,3681,4.7%,31.9%
2017-07-24,27,MYST,0.9724,3610,4.6%,73.5%
2017-07-18,22,MYST,0.6842,3472,4.6%,20.2%
2017-07-25,22,MYST,0.7644,3632,4.6%,11.7%
2017-07-23,33,MYST,0.9783,3583,4.6%,107.9%
2018-01-16,67,MYST,0.8493,9105,4.5%,-75.7%
2017-09-13,18,MYST,0.9064,6001,4.3%,-31.8%
2017-07-20,9,MYST,0.6761,3517,4.3%,-7.4%
2017-07-26,25,MYST,0.8177,3657,4.2%,40.1%
2018-01-15,90,MYST,1.445,9038,4.2%,-60.8%
2017-07-22,16,MYST,0.8754,3550,4.1%,72.3%
2017-07-21,17,MYST,0.7142,3534,4.0%,13.2%
2017-09-14,27,MYST,0.7449,6028,3.8%,-42.0%
2017-12-20,26,MYST,1.515,8192,3.7%,108.6%
2017-12-19,91,MYST,1.61,8166,3.6%,110.0%
2017-12-01,27,MYST,0.5664,7645,3.4%,3.8%
2017-12-24,34,MYST,2.121,8326,3.4%,101.4%
2018-01-14,126,MYST,1.5630000000000002,8948,3.4%,-21.5%
2017-09-15,28,MYST,0.7955,6056,3.4%,-26.5%
2017-12-25,19,MYST,2.307,8345,3.3%,97.5%
2017-12-23,57,MYST,1.8769999999999998,8292,3.3%,82.8%
2017-11-29,23,MYST,0.518,7598,3.3%,-4.7%
2017-11-30,20,MYST,0.5396,7618,3.3%,-1.1%
2017-12-21,26,MYST,1.712,8218,3.3%,37.6%
2017-11-28,30,MYST,0.6453,7575,3.2%,25.3%
2018-02-05,31,MYST,0.4871,10989,3.2%,-37.2%
