,Count,Token,Price,7days_cum_sum,7days_acc_rate,price_change
2017-09-06,113,POE,0.014230000000000001,2012,271.9%,-36.2%
2017-09-07,83,POE,0.013269999999999999,2095,169.3%,-34.3%
2017-09-08,130,POE,0.011040000000000001,2225,112.9%,-53.0%
2017-09-09,100,POE,0.008904,2325,58.7%,-47.2%
2017-09-10,112,POE,0.010159999999999999,2437,50.4%,-38.1%
2017-09-11,156,POE,0.008793,2593,43.2%,-27.9%
2017-09-12,74,POE,0.008884999999999999,2667,40.4%,-30.1%
2018-01-08,446,POE,0.185,12699,39.9%,103.0%
2018-01-09,432,POE,0.1603,13131,39.5%,65.8%
2018-01-10,341,POE,0.1716,13472,38.9%,59.0%
2018-01-07,537,POE,0.1899,12253,38.7%,100.2%
2018-01-06,601,POE,0.2102,11716,36.9%,104.7%
2018-01-05,932,POE,0.2105,11115,35.5%,255.6%
2018-01-11,307,POE,0.1447,13779,35.3%,-20.3%
2017-09-13,40,POE,0.009665,2707,34.5%,-32.1%
2017-09-14,51,POE,0.0060490000000000006,2758,31.6%,-54.4%
2018-01-04,483,POE,0.1816,10183,28.2%,459.3%
2017-09-15,56,POE,0.008537000000000001,2814,26.5%,-22.7%
2018-01-12,269,POE,0.1533,14048,26.4%,-27.2%
2018-01-03,289,POE,0.1079,9700,24.2%,249.3%
2017-09-16,54,POE,0.0113,2868,23.4%,26.9%
2018-01-13,361,POE,0.1399,14409,23.0%,-33.4%
2018-01-02,337,POE,0.09671,9411,21.9%,219.8%
2017-11-26,31,POE,0.007994,5658,20.7%,28.5%
2017-11-25,31,POE,0.00801,5627,20.3%,8.4%
2017-11-24,44,POE,0.008449,5596,20.3%,30.9%
2017-11-23,62,POE,0.007383,5552,19.9%,-34.1%
2017-09-17,47,POE,0.008269,2915,19.6%,-18.6%
2018-01-14,242,POE,0.1178,14651,19.6%,-38.0%
2017-11-22,67,POE,0.008683,5490,19.1%,52.8%
2018-01-01,240,POE,0.09112,9074,18.9%,197.0%
2017-11-21,89,POE,0.00774,5423,18.1%,37.6%
2018-01-15,210,POE,0.09978,14861,17.0%,-46.1%
2017-12-31,274,POE,0.09486,8834,16.8%,204.9%
2017-11-20,647,POE,0.007379999999999999,5334,16.8%,39.9%
2018-01-16,260,POE,0.0725,15121,15.2%,-54.8%
2017-09-18,64,POE,0.009640000000000001,2979,14.9%,9.6%
2017-12-30,356,POE,0.1027,8560,14.3%,193.4%
2017-12-23,121,POE,0.035,7490,14.1%,65.3%
2018-01-17,213,POE,0.09232,15334,13.8%,-46.2%
2017-12-21,187,POE,0.04088,7264,13.7%,178.3%
2017-12-22,105,POE,0.02915,7369,13.7%,95.4%
2017-09-20,62,POE,0.007974,3073,13.5%,-17.5%
2017-09-21,45,POE,0.007809999999999999,3118,13.1%,29.1%
2018-01-18,239,POE,0.09825,15573,13.0%,-32.1%
2017-09-19,32,POE,0.007188,3011,12.9%,-19.1%
2018-01-19,230,POE,0.11900000000000001,15803,12.5%,-22.4%
2017-12-20,72,POE,0.026389999999999997,7077,12.2%,168.3%
2017-12-19,108,POE,0.030139999999999997,7005,11.8%,227.2%
2017-09-22,27,POE,0.008151,3145,11.8%,-4.5%
2017-12-24,71,POE,0.031110000000000002,7561,11.7%,-10.2%
2018-01-20,242,POE,0.1202,16045,11.4%,-14.1%
2017-12-29,262,POE,0.05919,8204,11.3%,103.1%
2018-01-21,179,POE,0.1052,16224,10.7%,-10.7%
2017-12-18,127,POE,0.031830000000000004,6897,10.6%,240.2%
2017-12-25,68,POE,0.030680000000000002,7629,10.6%,-3.6%
2017-12-27,89,POE,0.030889999999999997,7808,10.3%,17.1%
2018-01-22,166,POE,0.09614,16390,10.3%,-3.6%
2017-09-23,18,POE,0.008298,3163,10.3%,-26.6%
2017-12-26,90,POE,0.030239999999999996,7719,10.2%,0.3%
2018-01-23,147,POE,0.1008,16537,9.4%,39.0%
2017-12-28,134,POE,0.03247,7942,9.3%,-20.6%
2017-12-17,206,POE,0.03465,6770,9.3%,357.5%
2017-09-26,53,POE,0.008209000000000001,3288,9.2%,14.2%
2017-09-24,18,POE,0.006667,3181,9.1%,-19.4%
2018-01-24,139,POE,0.09897,16676,8.8%,7.2%
2017-10-01,33,POE,0.009353,3459,8.7%,40.3%
2017-09-27,52,POE,0.008307,3340,8.7%,4.2%
2017-10-02,55,POE,0.009559999999999999,3514,8.6%,-12.1%
2017-09-25,54,POE,0.010879999999999999,3235,8.6%,12.9%
2017-09-30,21,POE,0.008481,3426,8.3%,2.2%
2017-09-29,32,POE,0.008206999999999999,3405,8.3%,0.7%
2017-09-28,33,POE,0.008623,3373,8.2%,10.4%
2018-01-25,142,POE,0.0956,16818,8.0%,-2.7%
2017-10-03,28,POE,0.008462,3542,7.7%,3.1%
2017-10-07,23,POE,0.01027,3679,7.4%,21.1%
2017-10-06,35,POE,0.010020000000000001,3656,7.4%,22.1%
2017-10-05,41,POE,0.009018,3621,7.4%,4.6%
2018-01-26,138,POE,0.09801,16956,7.3%,-17.6%
2017-10-04,38,POE,0.00875,3580,7.2%,5.3%
2017-10-08,28,POE,0.009285,3707,7.2%,-0.7%
2017-11-27,56,POE,0.009543000000000001,5714,7.1%,29.3%
2017-12-16,83,POE,0.021169999999999998,6564,6.8%,142.4%
