,Count,Token,Price,7days_cum_sum,7days_acc_rate,price_change
2017-11-09,317,POWR,0.1953,7206,103.6%,63.6%
2017-11-20,2093,POWR,0.5552,15288,93.2%,216.9%
2017-11-10,220,POWR,0.1707,7426,78.3%,61.8%
2017-11-11,165,POWR,0.1634,7591,71.8%,18.1%
2017-11-19,940,POWR,0.4159,13195,70.4%,179.7%
2017-11-15,544,POWR,0.2479,11139,61.7%,36.4%
2017-11-14,2683,POWR,0.2741,10595,61.7%,47.0%
2017-11-25,588,POWR,0.8019,19802,61.6%,163.1%
2017-11-24,665,POWR,0.787,19214,61.5%,200.3%
2017-11-18,356,POWR,0.3048,12255,61.4%,86.5%
2017-11-23,941,POWR,0.7391,18549,61.2%,199.0%
2017-11-17,392,POWR,0.2621,11899,60.2%,53.5%
2017-11-16,368,POWR,0.2472,11507,59.7%,26.6%
2017-11-22,1481,POWR,0.8599,17608,58.1%,246.9%
2017-11-12,151,POWR,0.1487,7742,56.0%,-0.6%
2017-11-26,632,POWR,0.7557,20434,54.9%,81.7%
2017-11-21,839,POWR,0.628,16127,52.2%,129.1%
2017-11-27,669,POWR,0.6682,21103,38.0%,20.4%
2017-11-28,595,POWR,0.6295,21698,34.5%,0.2%
2017-11-13,170,POWR,0.1752,7912,31.8%,-23.2%
2017-11-29,633,POWR,0.5385,22331,26.8%,-37.4%
2017-11-30,631,POWR,0.6549,22962,23.8%,-11.4%
2017-12-01,571,POWR,0.7011,23533,22.5%,-10.9%
2017-12-02,498,POWR,0.7011,24031,21.4%,-12.6%
2017-12-03,564,POWR,0.7090000000000001,24595,20.4%,-6.2%
2017-12-23,763,POWR,0.9729,36395,19.1%,42.6%
2017-12-04,495,POWR,0.7368,25090,18.9%,10.3%
2017-12-22,727,POWR,0.8677,35632,18.6%,29.9%
2017-12-24,584,POWR,0.9307,36979,18.5%,20.9%
2017-12-21,984,POWR,1.156,34905,18.2%,59.0%
2017-12-20,772,POWR,1.21,33921,17.4%,92.3%
2017-12-05,364,POWR,0.6741,25454,17.3%,7.1%
2017-12-19,831,POWR,1.068,33149,16.5%,85.0%
2017-12-25,532,POWR,0.9611,37511,16.1%,-9.3%
2017-12-06,387,POWR,0.6185,25841,15.7%,14.9%
2017-12-18,1113,POWR,1.06,32318,15.5%,96.5%
2017-12-26,582,POWR,0.935,38093,14.9%,-12.5%
2017-12-07,441,POWR,0.4953,26282,14.5%,-24.4%
2018-01-08,852,POWR,1.57,47897,14.3%,47.3%
2017-12-27,623,POWR,0.8946,38716,14.1%,-26.1%
2018-01-07,1188,POWR,1.791,47045,13.9%,77.3%
2017-12-08,430,POWR,0.5516,26712,13.5%,-21.3%
2018-01-09,684,POWR,1.642,48581,13.4%,26.9%
2017-12-17,656,POWR,0.7701,31205,13.4%,53.4%
2017-12-16,495,POWR,0.6824,30549,12.8%,15.4%
2018-01-03,807,POWR,1.734,43641,12.7%,93.8%
2018-01-12,559,POWR,1.571,50285,12.7%,11.0%
2018-01-06,1236,POWR,1.632,45857,12.7%,96.4%
2017-12-09,361,POWR,0.5915,27073,12.7%,-15.6%
2017-12-28,590,POWR,0.883,39306,12.6%,-23.6%
2018-01-10,553,POWR,1.52,49134,12.6%,-12.3%
2018-01-11,592,POWR,1.45,49726,12.6%,-7.6%
2017-12-15,525,POWR,0.6682,30054,12.5%,21.1%
2017-12-29,765,POWR,0.9748,40071,12.5%,12.3%
2018-01-02,927,POWR,1.294,42834,12.4%,38.4%
2018-01-04,534,POWR,1.569,44175,12.4%,77.7%
2017-12-14,640,POWR,0.7269,29529,12.4%,46.8%
2017-12-10,456,POWR,0.502,27529,11.9%,-29.2%
2017-12-30,631,POWR,0.8309,40702,11.8%,-14.6%
2017-12-13,433,POWR,0.6293,28889,11.8%,1.7%
2017-12-12,470,POWR,0.5773,28456,11.8%,-14.4%
2018-01-01,618,POWR,1.0659999999999998,41907,11.7%,10.9%
2017-12-31,587,POWR,1.01,41289,11.7%,8.5%
2017-12-11,457,POWR,0.5395,27986,11.5%,-26.8%
2018-01-05,446,POWR,1.415,44621,11.4%,45.2%
2018-01-13,591,POWR,1.579,50876,10.9%,-3.2%
2018-01-14,488,POWR,1.391,51364,9.2%,-22.3%
2018-01-15,505,POWR,1.261,51869,8.3%,-19.7%
2018-01-16,476,POWR,0.9027,52345,7.7%,-45.0%
2018-01-17,461,POWR,1.092,52806,7.5%,-28.2%
2018-01-18,519,POWR,1.1,53325,7.2%,-24.1%
2018-01-19,454,POWR,1.207,53779,6.9%,-23.2%
2018-01-20,471,POWR,1.2790000000000001,54250,6.6%,-19.0%
2018-01-21,415,POWR,1.083,54665,6.4%,-22.1%
2018-01-22,349,POWR,0.9879,55014,6.1%,-21.7%
2018-01-23,370,POWR,1.0590000000000002,55384,5.8%,17.3%
2018-01-24,418,POWR,1.058,55802,5.7%,-3.1%
2018-01-25,343,POWR,1.03,56145,5.3%,-6.4%
2018-01-26,326,POWR,1.0070000000000001,56471,5.0%,-16.6%
2018-01-27,378,POWR,1.0590000000000002,56849,4.8%,-17.2%
2018-01-28,375,POWR,1.038,57224,4.7%,-4.2%
2018-01-29,353,POWR,1.003,57577,4.7%,1.5%
2018-01-30,363,POWR,0.841,57940,4.6%,-20.6%
2018-01-31,370,POWR,0.8714,58310,4.5%,-17.6%
2018-02-01,341,POWR,0.7403,58651,4.5%,-28.1%
2018-02-02,320,POWR,0.7104,58971,4.4%,-29.5%
2018-02-03,294,POWR,0.7416,59265,4.2%,-30.0%
2018-02-12,343,POWR,0.7396,62211,4.2%,55.0%
2018-02-13,278,POWR,0.7277,62489,4.1%,25.7%
2018-02-15,262,POWR,0.7981,62993,4.1%,19.4%
2018-02-16,268,POWR,0.8248,63261,4.0%,12.3%
2018-02-14,242,POWR,0.7943,62731,4.0%,24.0%
2018-02-11,595,POWR,0.6871,61868,4.0%,9.9%
2018-02-04,234,POWR,0.625,59499,4.0%,-39.8%
2018-02-17,318,POWR,0.8371,63579,3.8%,11.5%
2018-02-05,231,POWR,0.4772,59730,3.7%,-52.4%
2018-02-06,294,POWR,0.579,60024,3.6%,-31.2%
2018-02-07,296,POWR,0.6407,60320,3.4%,-26.5%
2018-02-10,470,POWR,0.7505,61273,3.4%,1.2%
2018-02-18,266,POWR,0.7371,63845,3.2%,7.3%
2018-02-08,196,POWR,0.6682,60516,3.2%,-9.7%
2018-02-09,287,POWR,0.7343,60803,3.1%,3.4%
2018-02-19,231,POWR,0.7653,64076,3.0%,3.5%
2018-02-20,245,POWR,0.6805,64321,2.9%,-6.5%
2018-02-21,243,POWR,0.6276,64564,2.9%,-21.0%
2018-02-22,163,POWR,0.5871,64727,2.8%,-26.4%
2018-02-23,175,POWR,0.6105,64902,2.6%,-26.0%
2018-02-24,188,POWR,0.5736,65090,2.4%,-31.5%
2018-02-26,241,POWR,0.6065,65524,2.3%,-20.8%
2018-02-25,193,POWR,0.5734,65283,2.3%,-22.2%
2018-03-04,198,POWR,0.588,66752,2.3%,2.5%
2018-03-03,211,POWR,0.599,66554,2.2%,4.4%
2018-03-02,227,POWR,0.5579999999999999,66343,2.2%,-8.6%
2018-03-08,286,POWR,0.4275,67582,2.2%,-26.1%
2018-02-27,219,POWR,0.5928,65743,2.2%,-12.9%
2018-03-09,195,POWR,0.4226,67777,2.2%,-24.3%
2018-03-01,193,POWR,0.5786,66116,2.1%,-1.4%
2018-03-10,195,POWR,0.39899999999999997,67972,2.1%,-33.4%
2018-03-05,167,POWR,0.568,66919,2.1%,-6.3%
2018-03-14,260,POWR,0.4104,68714,2.1%,-6.1%
2018-02-28,180,POWR,0.5554,65923,2.1%,-11.5%
2018-03-07,206,POWR,0.43700000000000006,67296,2.1%,-21.3%
2018-03-06,171,POWR,0.5114,67090,2.0%,-13.7%
2018-05-16,763,POWR,0.4503,78453,2.0%,-8.0%
2018-03-11,145,POWR,0.4258,68117,2.0%,-27.6%
2018-03-12,163,POWR,0.4242,68280,2.0%,-25.3%
2018-03-13,174,POWR,0.4717,68454,2.0%,-7.8%
2018-05-17,109,POWR,0.4129,78562,2.0%,-6.7%
2018-04-24,287,POWR,0.595,74415,2.0%,41.0%
2018-05-18,85,POWR,0.4159,78647,1.9%,5.3%
2018-03-15,168,POWR,0.3879,68882,1.9%,-9.3%
2018-05-19,96,POWR,0.4147,78743,1.9%,1.2%
2018-04-25,194,POWR,0.5016,74609,1.9%,7.3%
2018-05-20,110,POWR,0.4238,78853,1.9%,-5.0%
2018-04-26,146,POWR,0.5563,74755,1.8%,17.2%
2018-04-30,192,POWR,0.5535,75482,1.8%,9.4%
2018-05-21,93,POWR,0.3992,78946,1.8%,-12.3%
2018-03-16,129,POWR,0.3762,69011,1.8%,-11.0%
2018-04-23,160,POWR,0.5061,74128,1.8%,20.9%
2018-04-29,205,POWR,0.589,75290,1.8%,17.3%
2018-04-27,156,POWR,0.5222,74911,1.8%,2.6%
2018-03-18,175,POWR,0.3257,69319,1.8%,-23.5%
2018-04-28,174,POWR,0.5563,75085,1.8%,14.8%
2018-05-22,107,POWR,0.3641,79053,1.8%,-27.4%
2018-04-22,183,POWR,0.5021,73968,1.7%,16.8%
2018-03-17,133,POWR,0.3262,69144,1.7%,-18.2%
2018-03-19,138,POWR,0.3703,69457,1.7%,-12.7%
2018-05-04,165,POWR,0.5569,76183,1.7%,6.6%
2018-05-03,190,POWR,0.5649,76018,1.7%,1.5%
2018-03-20,147,POWR,0.3826,69604,1.7%,-18.9%
2018-05-05,160,POWR,0.5529999999999999,76343,1.7%,-0.6%
2018-04-21,180,POWR,0.4846,73785,1.7%,15.9%
2018-05-01,157,POWR,0.5564,75639,1.6%,-6.5%
2018-05-02,189,POWR,0.5677,75828,1.6%,13.2%
2018-04-20,199,POWR,0.5092,73605,1.6%,33.2%
2018-05-06,141,POWR,0.5245,76484,1.6%,-11.0%
2018-04-19,194,POWR,0.4748,73406,1.6%,27.4%
2018-05-07,129,POWR,0.4976,76613,1.5%,-10.1%
2018-05-08,143,POWR,0.4978,76756,1.5%,-10.5%
2018-03-21,122,POWR,0.3941,69726,1.5%,-4.0%
2018-04-18,234,POWR,0.4673,73212,1.5%,45.0%
2018-03-22,153,POWR,0.374,69879,1.4%,-3.6%
2018-03-23,111,POWR,0.3559,69990,1.4%,-5.4%
2018-03-24,134,POWR,0.3617,70124,1.4%,10.9%
2018-05-09,123,POWR,0.4896,76879,1.4%,-13.8%
2018-03-25,115,POWR,0.3635,70239,1.3%,11.6%
2018-05-10,129,POWR,0.4425,77008,1.3%,-21.7%
2018-03-26,116,POWR,0.3323,70355,1.3%,-10.3%
2018-05-11,144,POWR,0.3949,77152,1.3%,-29.1%
2018-04-17,164,POWR,0.4221,72978,1.3%,35.1%
2018-03-28,131,POWR,0.3336,70599,1.3%,-15.4%
2018-03-27,113,POWR,0.331,70468,1.2%,-13.5%
2018-04-03,185,POWR,0.3398,71340,1.2%,2.7%
2018-04-04,122,POWR,0.3194,71462,1.2%,-4.3%
2018-03-30,132,POWR,0.2771,70845,1.2%,-22.1%
2018-05-15,157,POWR,0.5012,77690,1.2%,0.7%
2018-04-05,111,POWR,0.2983,71573,1.2%,3.8%
2018-05-14,135,POWR,0.4553,77533,1.2%,-8.5%
2018-05-12,106,POWR,0.4098,77258,1.2%,-25.9%
2018-05-13,140,POWR,0.4461,77398,1.2%,-14.9%
2018-03-29,114,POWR,0.2873,70713,1.2%,-23.2%
2018-04-16,116,POWR,0.4186,72814,1.2%,39.7%
2018-04-15,120,POWR,0.4298,72698,1.2%,34.7%
2018-04-06,101,POWR,0.2864,71674,1.2%,3.4%
2018-04-08,94,POWR,0.319,71852,1.2%,20.7%
2018-03-31,95,POWR,0.2794,70940,1.2%,-22.8%
2018-04-07,84,POWR,0.2977,71758,1.2%,6.5%
2018-04-14,147,POWR,0.418,72578,1.1%,40.4%
2018-04-02,134,POWR,0.3001,71155,1.1%,-9.7%
2018-04-09,108,POWR,0.2997,71960,1.1%,-0.1%
2018-04-01,81,POWR,0.2643,71021,1.1%,-27.3%
2018-04-13,150,POWR,0.3822,72431,1.1%,33.4%
2018-04-10,108,POWR,0.3124,72068,1.0%,-8.1%
2018-04-12,120,POWR,0.3727,72281,1.0%,24.9%
2018-04-11,93,POWR,0.3223,72161,1.0%,0.9%
2019-01-22,62,POWR,0.1025,93036,1.0%,38.2%
2019-01-21,59,POWR,0.1078,92974,0.9%,39.8%
2018-07-05,65,POWR,0.2726,82292,0.9%,53.1%
2019-01-20,68,POWR,0.1145,92915,0.9%,69.1%
2018-07-04,57,POWR,0.2804,82227,0.9%,44.7%
2018-07-03,91,POWR,0.2798,82170,0.9%,48.4%
2018-07-06,51,POWR,0.2844,82343,0.9%,32.3%
2019-01-19,91,POWR,0.1183,92847,0.9%,64.5%
2019-01-23,35,POWR,0.0999,93071,0.9%,6.9%
2018-05-23,85,POWR,0.3251,79138,0.9%,-27.8%
2018-07-02,127,POWR,0.3042,82079,0.9%,48.7%
2019-01-18,398,POWR,0.1048,92756,0.8%,43.9%
2018-05-24,89,POWR,0.3482,79227,0.8%,-15.7%
2019-01-24,52,POWR,0.09548,93123,0.8%,-15.6%
2018-05-25,71,POWR,0.3305,79298,0.8%,-20.5%
2020-02-21,89,POWR,0.09315,110654,0.8%,13.5%
2020-02-18,52,POWR,0.08697,110465,0.8%,41.9%
2018-05-26,73,POWR,0.3265,79371,0.8%,-21.3%
2018-07-01,81,POWR,0.2921,81952,0.8%,51.1%
2020-02-17,99,POWR,0.08872999999999999,110413,0.8%,47.1%
2018-06-03,84,POWR,0.3483,80058,0.8%,9.8%
2020-02-20,70,POWR,0.1023,110565,0.8%,68.8%
2020-02-19,30,POWR,0.07537,110495,0.8%,18.7%
2018-06-04,80,POWR,0.3315,80138,0.8%,13.0%
2018-06-05,86,POWR,0.3388,80224,0.8%,4.2%
2018-06-30,275,POWR,0.2842,81871,0.8%,36.6%
2020-02-16,165,POWR,0.09888999999999999,110314,0.8%,72.3%
2018-06-02,90,POWR,0.3435,79974,0.8%,5.2%
2018-06-06,74,POWR,0.3365,80298,0.8%,3.8%
2018-06-01,92,POWR,0.327,79884,0.7%,-1.1%
2018-05-27,60,POWR,0.3172,79431,0.7%,-25.2%
2018-05-28,93,POWR,0.2933,79524,0.7%,-26.5%
2018-06-07,67,POWR,0.3256,80365,0.7%,-1.5%
2020-05-07,57,POWR,0.08234,114212,0.7%,27.0%
2018-08-27,56,POWR,0.2017,85573,0.7%,6.0%
2018-05-31,99,POWR,0.3304,79792,0.7%,-5.1%
2019-06-21,99,POWR,0.11800000000000001,100670,0.7%,0.7%
2020-05-06,54,POWR,0.07851,114155,0.7%,13.7%
2020-05-05,60,POWR,0.08312,114101,0.7%,27.7%
2018-08-25,52,POWR,0.1933,85474,0.7%,3.9%
2019-06-28,162,POWR,0.1044,101382,0.7%,-11.5%
2018-05-29,88,POWR,0.3251,79612,0.7%,-10.7%
2018-08-26,43,POWR,0.1894,85517,0.7%,-1.1%
2018-08-24,88,POWR,0.1916,85422,0.7%,-10.4%
2018-05-30,81,POWR,0.3242,79693,0.7%,-0.3%
2020-05-04,81,POWR,0.08553,114041,0.7%,28.4%
2019-06-22,114,POWR,0.1181,100784,0.7%,-0.3%
2018-07-22,48,POWR,0.3591,83475,0.7%,24.5%
2018-07-21,59,POWR,0.3763,83427,0.7%,35.2%
2018-06-08,58,POWR,0.3298,80423,0.7%,0.9%
2018-07-23,53,POWR,0.3332,83528,0.7%,3.5%
2018-07-20,66,POWR,0.3658,83368,0.7%,37.8%
2019-06-20,85,POWR,0.1182,100571,0.7%,-1.3%
2019-06-29,72,POWR,0.1059,101454,0.7%,-10.3%
2020-02-15,379,POWR,0.115,110149,0.7%,114.8%
2018-07-19,60,POWR,0.3995,83302,0.7%,50.6%
2020-05-03,62,POWR,0.08272,113960,0.7%,31.6%
2018-08-23,54,POWR,0.1892,85334,0.7%,2.3%
2018-07-18,137,POWR,0.3988,83242,0.7%,36.2%
2020-05-02,90,POWR,0.08307,113898,0.7%,34.5%
2019-06-26,127,POWR,0.1113,101144,0.7%,-11.8%
2019-06-30,69,POWR,0.102,101523,0.7%,-12.4%
2019-06-23,79,POWR,0.1164,100863,0.7%,-5.1%
2018-08-22,82,POWR,0.185,85280,0.7%,2.9%
2019-06-27,76,POWR,0.09957,101220,0.6%,-15.8%
2018-07-17,135,POWR,0.3846,83105,0.6%,52.8%
2019-07-01,49,POWR,0.1069,101572,0.6%,-9.3%
2018-06-09,58,POWR,0.3241,80481,0.6%,-5.6%
2018-07-07,45,POWR,0.2739,82388,0.6%,-3.6%
2019-06-19,82,POWR,0.1262,100486,0.6%,2.0%
2018-07-08,68,POWR,0.2755,82456,0.6%,-5.7%
2018-08-21,234,POWR,0.1921,85198,0.6%,13.7%
2019-06-24,68,POWR,0.1179,100931,0.6%,-1.4%
2019-06-25,86,POWR,0.1163,101017,0.6%,-2.3%
2020-05-01,410,POWR,0.09124,113808,0.6%,47.3%
2019-07-02,53,POWR,0.1057,101625,0.6%,-9.1%
2019-04-08,74,POWR,0.1288,96810,0.6%,4.6%
2018-06-10,56,POWR,0.2708,80537,0.6%,-22.3%
2019-09-08,53,POWR,0.05345,104149,0.6%,-2.5%
2019-04-07,74,POWR,0.1325,96736,0.6%,7.1%
2019-06-18,88,POWR,0.11900000000000001,100404,0.6%,-2.6%
2019-04-06,68,POWR,0.1302,96662,0.6%,9.5%
2018-07-24,62,POWR,0.3422,83590,0.6%,-11.0%
2019-09-06,65,POWR,0.05135,104049,0.6%,-2.5%
2018-07-14,49,POWR,0.2784,82862,0.6%,1.6%
2018-07-11,120,POWR,0.2929,82699,0.6%,4.5%
2019-04-05,77,POWR,0.1322,96594,0.6%,6.8%
2019-09-07,47,POWR,0.05305,104096,0.6%,-1.7%
2018-06-11,59,POWR,0.282,80596,0.6%,-14.9%
2019-09-09,61,POWR,0.05338,104210,0.6%,-4.7%
2018-07-13,60,POWR,0.2655,82813,0.6%,-6.6%
2018-07-12,54,POWR,0.2652,82753,0.6%,-2.7%
2019-07-03,80,POWR,0.1136,101705,0.6%,2.1%
2019-09-05,70,POWR,0.05385,103984,0.6%,6.0%
2018-06-13,82,POWR,0.2396,80741,0.6%,-28.8%
2019-06-17,108,POWR,0.1196,100316,0.5%,-2.7%
2018-07-09,71,POWR,0.2735,82527,0.5%,-10.1%
2018-07-15,43,POWR,0.2884,82905,0.5%,4.7%
2019-04-09,30,POWR,0.1263,96840,0.5%,-3.3%
2018-06-12,63,POWR,0.2593,80659,0.5%,-23.5%
2020-02-22,90,POWR,0.08732000000000001,110744,0.5%,-24.1%
2018-10-26,55,POWR,0.1678,88687,0.5%,-9.3%
2018-07-16,65,POWR,0.3219,82970,0.5%,17.7%
2019-04-04,83,POWR,0.1267,96517,0.5%,4.5%
2018-06-14,55,POWR,0.2601,80796,0.5%,-20.1%
2018-06-15,57,POWR,0.2444,80853,0.5%,-25.9%
2018-10-27,57,POWR,0.1636,88744,0.5%,-12.1%
2018-08-15,50,POWR,0.1798,84728,0.5%,-8.1%
2018-08-28,78,POWR,0.209,85651,0.5%,8.8%
2018-10-25,86,POWR,0.1665,88632,0.5%,-7.6%
2019-07-04,47,POWR,0.1064,101752,0.5%,6.9%
2018-08-14,102,POWR,0.1689,84678,0.5%,-21.3%
2019-04-03,117,POWR,0.1259,96434,0.5%,7.7%
2019-09-04,75,POWR,0.05289,103914,0.5%,0.2%
2018-10-24,60,POWR,0.1773,88546,0.5%,-1.6%
2018-06-16,41,POWR,0.2548,80894,0.5%,-21.4%
2018-08-17,50,POWR,0.2138,84824,0.5%,10.4%
2018-08-30,56,POWR,0.1976,85765,0.5%,4.4%
2018-10-28,46,POWR,0.1659,88790,0.5%,-7.7%
2018-08-29,58,POWR,0.2045,85709,0.5%,10.5%
2018-08-18,49,POWR,0.1861,84873,0.5%,-1.1%
2018-10-23,69,POWR,0.1743,88486,0.5%,1.2%
2018-06-17,46,POWR,0.2558,80940,0.5%,-5.5%
2018-07-10,52,POWR,0.2517,82579,0.5%,-10.0%
2019-05-21,64,POWR,0.1209,98655,0.5%,7.9%
2018-08-16,46,POWR,0.185,84774,0.5%,-11.8%
2018-09-23,62,POWR,0.1848,86969,0.5%,15.9%
2018-08-19,45,POWR,0.1916,84918,0.5%,-1.2%
2018-06-25,65,POWR,0.2046,81370,0.5%,-21.6%
2018-07-25,56,POWR,0.3273,83646,0.5%,-17.9%
2018-10-22,72,POWR,0.1773,88417,0.5%,3.6%
2018-09-27,43,POWR,0.1707,87126,0.5%,8.0%
2019-06-16,116,POWR,0.1227,100208,0.5%,4.3%
2019-05-20,53,POWR,0.1159,98591,0.5%,13.9%
2018-09-26,46,POWR,0.1618,87083,0.5%,6.7%
2018-06-29,68,POWR,0.2149,81596,0.5%,0.7%
2018-06-26,51,POWR,0.1886,81421,0.5%,-30.8%
2019-09-03,221,POWR,0.054439999999999995,103839,0.5%,-4.6%
2018-06-28,57,POWR,0.1781,81528,0.5%,-30.4%
2019-05-22,63,POWR,0.1188,98718,0.5%,-3.6%
2018-09-22,76,POWR,0.1845,86907,0.5%,31.3%
2019-03-14,73,POWR,0.1088,95307,0.5%,12.3%
2018-06-18,35,POWR,0.2609,80975,0.5%,-7.5%
2018-09-24,29,POWR,0.1698,86998,0.5%,17.3%
2018-09-03,60,POWR,0.2005,85975,0.5%,-0.6%
2019-04-10,46,POWR,0.1217,96886,0.5%,-3.3%
2018-09-25,39,POWR,0.1661,87037,0.5%,8.8%
2019-03-15,45,POWR,0.1102,95352,0.5%,14.3%
2018-10-29,40,POWR,0.1539,88830,0.5%,-13.2%
2018-07-26,44,POWR,0.3104,83690,0.5%,-22.3%
2018-09-02,48,POWR,0.2026,85915,0.5%,7.0%
2018-06-27,50,POWR,0.1938,81471,0.5%,-25.4%
2018-06-19,58,POWR,0.2726,81033,0.5%,5.1%
2019-05-19,62,POWR,0.1214,98538,0.5%,16.2%
2018-10-21,72,POWR,0.1797,88345,0.5%,10.1%
2018-08-31,52,POWR,0.1969,85817,0.5%,2.8%
2019-03-17,54,POWR,0.1075,95456,0.5%,5.5%
2019-04-11,75,POWR,0.11,96961,0.5%,-13.2%
2018-09-01,50,POWR,0.20600000000000002,85867,0.5%,6.6%
2018-10-14,54,POWR,0.1632,87938,0.5%,-1.9%
2018-08-20,46,POWR,0.1903,84964,0.5%,8.6%
2018-08-13,73,POWR,0.1753,84576,0.5%,-22.4%
2020-02-23,73,POWR,0.1114,110817,0.5%,12.7%
2019-04-02,85,POWR,0.1306,96317,0.5%,18.4%
2019-03-16,50,POWR,0.1073,95402,0.5%,0.7%
2019-03-12,84,POWR,0.1138,95187,0.5%,19.7%
2018-06-24,52,POWR,0.1933,81305,0.5%,-24.4%
2018-10-31,76,POWR,0.16699999999999998,88943,0.4%,-5.8%
2019-03-13,47,POWR,0.1072,95234,0.4%,14.0%
2018-06-23,47,POWR,0.2081,81253,0.4%,-18.3%
2018-10-20,61,POWR,0.1862,88273,0.4%,12.8%
2019-01-17,126,POWR,0.1131,92358,0.4%,59.1%
2019-05-30,66,POWR,0.1175,99205,0.4%,-2.1%
2018-07-27,46,POWR,0.321,83736,0.4%,-12.2%
2019-05-31,65,POWR,0.1221,99270,0.4%,-2.2%
2018-09-05,62,POWR,0.1682,86086,0.4%,-17.8%
2019-06-15,134,POWR,0.1184,100092,0.4%,-4.6%
2018-10-13,44,POWR,0.165,87884,0.4%,2.5%
2018-10-15,52,POWR,0.1711,87990,0.4%,0.5%
2019-05-18,45,POWR,0.1147,98476,0.4%,3.1%
2018-06-20,61,POWR,0.2598,81094,0.4%,8.4%
