,Count,Token,Price,7days_cum_sum,7days_acc_rate,price_change
2017-09-03,93,RCN,4.61e-05,147,250.0%,6.0%
2017-11-10,172,RCN,0.1217,6505,153.5%,64.2%
2017-11-09,277,RCN,0.1439,6333,152.6%,162.8%
2017-11-11,105,RCN,0.1224,6610,150.5%,63.9%
2017-11-08,1281,RCN,0.1355,6056,150.0%,87.3%
2017-11-12,111,RCN,0.1111,6721,137.3%,27.6%
2017-11-13,99,RCN,0.1202,6820,133.0%,50.0%
2017-11-07,1848,RCN,0.1424,4775,104.3%,149.5%
2017-11-01,85,RCN,0.07236000000000001,2422,88.8%,20.0%
2017-09-21,225,RCN,3.6200000000000006e-05,517,85.3%,11.7%
2017-09-10,44,RCN,4.2499999999999996e-05,240,63.3%,-7.8%
2017-11-02,85,RCN,0.05476,2507,48.7%,-23.1%
2017-11-14,158,RCN,0.1338,6978,46.1%,-6.0%
2017-11-03,59,RCN,0.07412,2566,35.3%,4.6%
2017-11-05,193,RCN,0.08709,2832,33.7%,36.4%
2017-11-04,73,RCN,0.07468,2639,31.2%,13.2%
2017-11-06,95,RCN,0.08014,2927,31.0%,33.3%
2017-11-15,129,RCN,0.1292,7107,17.4%,-4.6%
2017-09-18,4,RCN,4.1e-05,285,14.9%,-2.8%
2017-11-16,128,RCN,0.1082,7235,14.2%,-24.8%
2017-11-28,117,RCN,0.1287,8719,13.1%,35.6%
2017-11-27,129,RCN,0.1483,8602,13.0%,49.6%
2017-11-17,113,RCN,0.09885,7348,13.0%,-18.8%
2017-11-26,159,RCN,0.1537,8473,12.7%,65.1%
2017-12-19,178,RCN,0.2589,11036,12.6%,67.4%
2017-11-18,79,RCN,0.0998,7427,12.4%,-18.5%
2017-11-29,98,RCN,0.1102,8817,12.3%,-3.7%
2017-11-25,230,RCN,0.1449,8314,11.9%,45.2%
2017-11-19,94,RCN,0.09312000000000001,7521,11.9%,-16.2%
2017-12-18,135,RCN,0.2806,10858,11.9%,93.1%
2017-11-20,94,RCN,0.0991,7615,11.7%,-17.6%
2017-12-17,215,RCN,0.2292,10723,11.5%,98.1%
2017-12-20,91,RCN,0.2444,11127,11.0%,64.2%
2017-11-30,60,RCN,0.1242,8877,11.0%,15.0%
2017-12-01,62,RCN,0.1252,8939,10.6%,13.0%
2017-11-23,144,RCN,0.10800000000000001,7994,10.5%,-0.2%
2017-11-22,143,RCN,0.1144,7850,10.5%,-11.5%
2017-11-21,92,RCN,0.09489,7707,10.4%,-29.1%
2017-11-24,90,RCN,0.1108,8084,10.0%,12.1%
2017-12-16,123,RCN,0.2028,10508,9.8%,54.0%
2017-12-21,124,RCN,0.2332,11251,9.8%,39.8%
2017-12-15,135,RCN,0.1584,10385,9.3%,19.2%
2017-12-22,88,RCN,0.1808,11339,9.2%,14.1%
2017-12-23,118,RCN,0.2176,11457,9.0%,7.3%
2017-12-27,158,RCN,0.3926,12114,8.9%,60.6%
2017-12-29,141,RCN,0.4267,12339,8.8%,136.0%
2017-12-14,230,RCN,0.1668,10250,8.6%,35.0%
2017-12-30,98,RCN,0.3538,12437,8.6%,62.6%
2017-12-25,191,RCN,0.3759,11784,8.5%,34.0%
2017-12-28,84,RCN,0.3776,12198,8.4%,61.9%
2017-12-02,69,RCN,0.1282,9008,8.3%,-11.5%
2017-12-26,172,RCN,0.4035,11956,8.3%,55.9%
2017-12-24,136,RCN,0.2698,11593,8.1%,17.7%
2017-12-31,74,RCN,0.3796,12511,7.9%,40.7%
2017-12-03,75,RCN,0.1257,9083,7.2%,-18.2%
2017-12-04,116,RCN,0.1467,9199,6.9%,-1.1%
2018-01-01,87,RCN,0.3686,12598,6.9%,-1.9%
2017-12-13,216,RCN,0.1488,10020,6.9%,12.0%
2017-12-05,100,RCN,0.1408,9299,6.7%,9.4%
2017-12-07,64,RCN,0.1236,9437,6.3%,-0.5%
2017-12-06,74,RCN,0.1328,9373,6.3%,20.5%
2017-12-08,63,RCN,0.1329,9500,6.3%,6.2%
2017-12-09,69,RCN,0.1317,9569,6.2%,2.7%
2018-01-02,102,RCN,0.385,12700,6.2%,-4.6%
2017-12-10,52,RCN,0.1157,9621,5.9%,-8.0%
2018-01-08,106,RCN,0.4417,13342,5.9%,19.8%
2018-01-04,102,RCN,0.44799999999999995,12908,5.8%,18.6%
2018-01-07,106,RCN,0.4529,13236,5.8%,19.3%
2018-01-03,106,RCN,0.4161,12806,5.7%,6.0%
2018-01-09,81,RCN,0.451,13423,5.7%,17.1%
2018-01-10,111,RCN,0.4955,13534,5.7%,19.1%
2018-01-06,126,RCN,0.4168,13130,5.6%,17.8%
2018-01-11,88,RCN,0.3844,13622,5.5%,-14.2%
2017-12-11,84,RCN,0.1453,9705,5.5%,-1.0%
2017-12-12,99,RCN,0.1547,9804,5.4%,9.9%
2018-01-05,96,RCN,0.3834,13004,5.4%,-10.1%
2018-01-12,63,RCN,0.4127,13685,5.2%,7.6%
2018-01-13,67,RCN,0.4003,13752,4.7%,-4.0%
