,Count,Token,Price,7days_cum_sum,7days_acc_rate,price_change
2019-04-17,1,RMESH,0.027739999999999997,9,800.0%,-25.5%
2019-04-24,10,RMESH,0.02026,28,211.1%,-27.0%
2019-04-18,2,RMESH,0.026189999999999998,11,175.0%,-28.7%
2019-04-25,1,RMESH,0.01866,29,163.6%,-28.8%
2019-04-26,1,RMESH,0.01909,30,130.8%,-26.9%
2019-04-27,2,RMESH,0.01932,32,128.6%,-44.2%
2019-04-19,2,RMESH,0.026119999999999997,13,85.7%,-28.6%
2019-06-27,1,RMESH,0.01629,154,41.3%,-36.7%
2019-06-28,1,RMESH,0.017130000000000003,155,40.9%,-38.8%
2019-06-29,3,RMESH,0.01757,158,38.6%,-43.5%
2019-06-30,1,RMESH,0.016069999999999997,159,38.3%,-48.0%
2019-06-25,25,RMESH,0.01583,140,30.8%,-72.7%
2019-05-03,3,RMESH,0.03045,39,30.0%,59.5%
2019-05-04,2,RMESH,0.02961,41,28.1%,53.3%
2019-05-28,3,RMESH,0.027139999999999997,80,27.0%,-29.4%
2019-05-27,5,RMESH,0.032889999999999996,77,26.2%,-13.4%
2019-05-07,1,RMESH,0.02546,44,25.7%,-14.4%
2019-05-22,3,RMESH,0.03669,66,24.5%,-2.1%
2019-05-02,1,RMESH,0.029189999999999997,36,24.1%,56.4%
2019-05-23,2,RMESH,0.03701,68,23.6%,-7.2%
2019-05-21,2,RMESH,0.038419999999999996,63,23.5%,17.4%
2019-05-29,1,RMESH,0.019430000000000003,81,22.7%,-47.0%
2019-05-18,2,RMESH,0.03526,57,21.3%,14.5%
2019-05-30,1,RMESH,0.02538,82,20.6%,-31.4%
2019-05-19,2,RMESH,0.03932,59,20.4%,38.7%
2019-06-03,3,RMESH,0.02487,91,18.2%,-24.4%
2019-05-14,2,RMESH,0.03273,51,15.9%,28.6%
2019-05-15,2,RMESH,0.037469999999999996,53,15.2%,44.8%
2019-05-11,1,RMESH,0.030789999999999998,47,14.6%,4.0%
2019-06-22,4,RMESH,0.0311,114,14.0%,46.2%
2019-05-12,2,RMESH,0.02835,49,14.0%,14.5%
2019-06-05,1,RMESH,0.02452,92,13.6%,26.2%
2019-06-06,1,RMESH,0.0212,93,13.4%,-16.5%
2019-06-08,2,RMESH,0.019540000000000002,95,13.1%,-26.0%
2019-06-20,2,RMESH,0.02572,109,10.1%,78.4%
2019-08-10,2,RMESH,0.01057,199,7.6%,-51.9%
2019-06-17,4,RMESH,0.04054,104,7.2%,189.2%
2019-07-15,1,RMESH,0.01645,175,6.7%,-33.5%
2019-06-10,2,RMESH,0.01402,97,6.6%,-43.6%
2019-06-12,1,RMESH,0.01487,98,6.5%,-39.4%
2019-06-13,1,RMESH,0.014419999999999999,99,6.5%,-32.0%
2019-07-10,3,RMESH,0.02081,170,6.2%,24.4%
2019-07-12,1,RMESH,0.01986,171,6.2%,-30.3%
2019-07-13,1,RMESH,0.01939,172,6.2%,-32.0%
2019-08-05,8,RMESH,0.02309,194,5.4%,10.6%
2019-06-15,1,RMESH,0.021269999999999997,100,5.3%,8.9%
2019-09-12,1,RMESH,0.009965,217,4.8%,3.9%
2019-07-03,1,RMESH,0.016730000000000002,160,4.6%,0.2%
2019-07-05,1,RMESH,0.0285,161,3.9%,66.4%
2019-09-14,1,RMESH,0.01039,218,3.8%,5.9%
2019-07-20,2,RMESH,0.01166,178,3.5%,-39.9%
2019-07-19,1,RMESH,0.01595,176,2.9%,-19.7%
2019-07-21,1,RMESH,0.0115,179,2.9%,-29.5%
2019-07-06,1,RMESH,0.02851,162,2.5%,62.3%
2020-02-14,3,RMESH,0.008574,265,1.5%,28.1%
2019-09-06,2,RMESH,0.009321,209,1.5%,-7.9%
2020-06-22,1,RMESH,0.007298999999999999,286,1.4%,5.3%
2020-01-04,1,RMESH,0.00403,255,1.2%,4.8%
2020-04-30,1,RMESH,0.006188,277,0.4%,11.1%
2019-09-05,1,RMESH,0.009590999999999999,207,0.0%,inf%
2019-08-30,1,RMESH,0.01012,206,0.0%,inf%
2019-08-20,1,RMESH,0.010029999999999999,203,0.0%,inf%
2019-09-07,1,RMESH,0.009807999999999999,210,0.0%,inf%
2019-09-09,5,RMESH,0.009946,216,0.0%,inf%
2019-09-08,1,RMESH,0.009992000000000001,211,0.0%,inf%
2019-09-18,1,RMESH,0.008422,219,0.0%,inf%
2020-02-06,2,RMESH,0.006386,260,0.0%,inf%
2020-05-06,1,RMESH,0.005973,278,0.0%,inf%
2020-02-12,1,RMESH,0.007984,262,0.0%,inf%
2020-04-23,1,RMESH,0.00557,276,0.0%,inf%
2020-07-24,1,RMESH,0.008388,299,0.0%,inf%
2020-07-30,1,RMESH,0.01006,300,0.0%,inf%
2020-03-04,1,RMESH,0.00674,267,0.0%,inf%
2020-04-13,2,RMESH,0.004705,275,0.0%,inf%
2019-04-10,1,RMESH,0.03725,1,0.0%,inf%
2019-08-06,1,RMESH,0.022369999999999998,195,0.0%,inf%
2019-06-23,1,RMESH,0.030889999999999997,115,0.0%,inf%
