,Count,Token,Price,7days_cum_sum,7days_acc_rate,price_change
2017-08-12,40,SUB,0.0009292,234,2240.0%,29.5%
2017-08-15,129,SUB,0.0008738999999999999,570,2092.3%,27.4%
2017-08-16,60,SUB,0.0008775,630,932.8%,24.8%
2017-08-10,27,SUB,0.0007194,88,877.8%,11.3%
2017-08-17,117,SUB,0.0007274,747,748.9%,1.1%
2017-08-08,15,SUB,0.0006859,26,333.3%,-4.0%
2017-08-18,49,SUB,0.0006979,796,310.3%,-4.5%
2017-08-19,73,SUB,0.0007056,869,271.4%,-24.1%
2017-08-05,1,SUB,0.0007178,10,233.3%,-9.4%
2017-08-30,150,SUB,0.0009166,1838,79.7%,16.5%
2017-09-05,261,SUB,0.0008818,2782,64.8%,-89.3%
2017-08-23,154,SUB,0.0007867999999999999,1023,62.4%,-10.3%
2017-08-25,251,SUB,0.0006547,1274,60.1%,-6.2%
2017-09-03,288,SUB,0.0010609999999999999,2347,59.6%,43.6%
2017-09-09,299,SUB,0.0009971000000000001,3239,57.3%,-0.9%
2017-09-04,174,SUB,0.0008535,2521,56.4%,-28.0%
2017-10-10,965,SUB,0.1492,8490,45.6%,49.9%
2017-10-11,304,SUB,0.1423,8794,42.0%,-15.7%
2017-09-10,87,SUB,0.001019,3326,41.7%,-4.0%
2017-10-08,199,SUB,0.1331,7386,37.2%,99.0%
2017-10-07,270,SUB,0.1525,7187,36.6%,128.9%
2017-10-12,172,SUB,0.1287,8966,35.1%,11.6%
2017-10-06,281,SUB,0.152,6917,35.1%,218.7%
2017-10-09,139,SUB,0.1447,7525,34.5%,62.5%
2017-09-21,126,SUB,0.04898,4562,33.3%,4773.6%
2017-09-22,96,SUB,0.04954,4658,32.6%,4204.1%
2017-10-13,129,SUB,0.09616,9095,31.5%,-36.7%
2017-10-05,442,SUB,0.1153,6636,30.8%,182.1%
2017-10-14,139,SUB,0.1084,9234,28.5%,-28.9%
2017-10-15,104,SUB,0.1041,9338,26.4%,-21.8%
2017-10-16,85,SUB,0.1079,9423,25.2%,-25.4%
2017-09-23,46,SUB,0.05379,4704,24.0%,6509.7%
2017-09-17,306,SUB,0.0007379,4099,23.2%,-27.6%
2017-10-04,361,SUB,0.1689,6194,23.2%,280.7%
2017-09-12,60,SUB,0.058820000000000004,3386,21.7%,6570.4%
2018-01-10,566,SUB,2.535,29674,17.6%,84.2%
2017-10-03,239,SUB,0.09954,5833,17.5%,106.5%
2018-01-11,586,SUB,1.9569999999999999,30260,17.4%,32.8%
2018-01-09,694,SUB,2.861,29108,17.2%,137.0%
2017-09-16,281,SUB,0.0008137999999999999,3793,17.1%,-18.4%
2018-01-08,558,SUB,2.4459999999999997,28414,16.7%,132.7%
2018-01-12,480,SUB,2.3819999999999997,30740,16.7%,32.2%
2017-09-14,36,SUB,0.001005,3422,16.4%,8.4%
2018-01-07,737,SUB,2.6,27856,16.1%,139.2%
2017-09-24,53,SUB,0.04722,4757,16.1%,6299.2%
2017-09-25,86,SUB,0.050069999999999996,4843,15.9%,7532.6%
2017-10-02,212,SUB,0.08904,5594,15.5%,77.8%
2018-01-13,500,SUB,2.05,31240,15.2%,-11.2%
2018-01-06,773,SUB,2.3080000000000003,27119,14.6%,132.9%
2017-10-24,200,SUB,0.1468,10909,13.7%,27.0%
2017-10-23,195,SUB,0.142,10709,13.6%,31.6%
2018-01-14,403,SUB,1.869,31643,13.6%,-28.1%
2017-12-22,346,SUB,0.5868,20642,13.6%,32.9%
2017-09-27,63,SUB,0.044360000000000004,5029,13.4%,-25.9%
2017-12-21,401,SUB,0.6943,20296,13.4%,49.4%
2017-12-23,331,SUB,0.6745,20973,13.2%,16.6%
2017-10-01,122,SUB,0.06687,5382,13.1%,41.6%
2017-10-19,248,SUB,0.146,10139,13.1%,13.4%
2017-12-27,418,SUB,1.081,22492,13.1%,98.9%
2017-10-17,175,SUB,0.1156,9598,13.1%,-22.5%
2018-01-05,573,SUB,1.8019999999999998,26346,13.0%,59.3%
2017-12-29,424,SUB,1.131,23317,13.0%,92.7%
2017-12-31,337,SUB,1.087,24000,12.9%,39.1%
2017-12-30,346,SUB,0.991,23663,12.8%,46.9%
2017-12-28,401,SUB,1.107,22893,12.8%,59.4%
2017-10-20,119,SUB,0.1197,10258,12.8%,24.5%
2017-12-20,246,SUB,0.5434,19895,12.7%,52.8%
2017-10-22,145,SUB,0.1372,10514,12.6%,31.8%
2018-01-04,536,SUB,1.474,25773,12.6%,33.2%
2017-11-29,188,SUB,0.2858,15431,12.6%,71.1%
2018-01-15,341,SUB,2.031,31984,12.6%,-17.0%
2017-12-25,415,SUB,1.026,21680,12.5%,64.8%
2017-12-19,382,SUB,0.5689,19649,12.5%,76.8%
2017-11-28,195,SUB,0.382,15243,12.5%,179.9%
2018-01-02,485,SUB,1.207,24830,12.5%,13.0%
2017-10-18,293,SUB,0.1542,9891,12.5%,8.4%
2017-12-26,394,SUB,1.068,22074,12.3%,87.7%
2017-12-24,292,SUB,0.7814,21265,12.3%,22.0%
2018-01-01,345,SUB,1.051,24345,12.3%,2.4%
2017-10-21,111,SUB,0.1267,10369,12.3%,16.9%
2018-01-03,407,SUB,1.376,25237,12.2%,27.3%
2017-11-27,189,SUB,0.306,15048,12.0%,116.9%
