,Count,Token,Price,7days_cum_sum,7days_acc_rate,price_change
2018-04-04,296,TFD,0.01885,1136,1036.0%,-36.4%
2018-04-05,36,TFD,0.018619999999999998,1172,544.0%,-13.4%
2018-04-06,37,TFD,0.017769999999999998,1209,307.1%,-24.8%
2018-04-07,49,TFD,0.01963,1258,273.3%,-6.0%
2018-04-08,39,TFD,0.01608,1297,184.4%,-24.0%
2018-04-09,40,TFD,0.0193,1337,131.7%,-3.8%
2018-04-10,52,TFD,0.0201,1389,65.4%,-9.3%
2018-04-22,100,TFD,0.03783,2254,36.5%,62.0%
2018-04-21,92,TFD,0.03631,2154,34.2%,59.8%
2018-04-20,120,TFD,0.03671,2062,31.2%,76.7%
2018-04-17,104,TFD,0.024640000000000002,1816,30.7%,22.6%
2018-04-13,60,TFD,0.02078,1572,30.0%,16.9%
2018-04-18,67,TFD,0.02471,1883,29.1%,21.2%
2018-04-12,54,TFD,0.022959999999999998,1512,29.0%,23.3%
2018-04-19,59,TFD,0.030010000000000002,1942,28.4%,30.7%
2018-04-11,69,TFD,0.020380000000000002,1458,28.3%,8.1%
2018-04-16,61,TFD,0.026080000000000002,1712,28.0%,35.1%
2018-04-14,33,TFD,0.022719999999999997,1605,27.6%,15.7%
2018-04-15,46,TFD,0.02335,1651,27.3%,45.2%
2018-05-10,81,TFD,0.045380000000000004,2921,25.5%,-4.3%
2018-05-11,54,TFD,0.03972,2975,23.9%,-10.2%
2018-05-12,58,TFD,0.03971,3033,21.9%,-31.1%
2018-05-13,69,TFD,0.04054,3102,19.4%,-18.8%
2018-05-14,52,TFD,0.041460000000000004,3154,17.5%,-19.8%
2018-05-15,41,TFD,0.04042,3195,15.3%,-11.8%
2018-05-16,28,TFD,0.03904,3223,13.5%,-18.2%
2018-06-17,66,TFD,0.02334,4544,12.2%,19.5%
2018-06-15,322,TFD,0.02096,4478,11.8%,-14.9%
2018-05-17,33,TFD,0.03467,3256,11.5%,-23.6%
2018-05-18,33,TFD,0.0319,3289,10.6%,-19.7%
2018-07-23,63,TFD,0.03057,5994,10.1%,-12.3%
2018-07-24,38,TFD,0.03069,6032,9.9%,-15.2%
2018-07-25,33,TFD,0.029269999999999997,6065,9.9%,-13.8%
2018-07-22,46,TFD,0.034,5931,9.8%,14.7%
2018-05-19,37,TFD,0.0334,3326,9.7%,-15.9%
2018-07-21,55,TFD,0.03352,5885,9.3%,22.5%
2018-07-20,110,TFD,0.031689999999999996,5830,8.6%,14.9%
2018-05-24,43,TFD,0.026560000000000004,3534,8.5%,-23.4%
2018-05-20,35,TFD,0.03405,3361,8.3%,-16.0%
2018-05-23,40,TFD,0.024880000000000003,3491,8.3%,-36.3%
2018-05-25,27,TFD,0.026000000000000002,3561,8.3%,-18.5%
2018-07-05,57,TFD,0.031560000000000005,5050,8.2%,56.3%
2018-05-21,50,TFD,0.02926,3411,8.1%,-29.4%
2018-05-26,34,TFD,0.027039999999999998,3595,8.1%,-19.0%
2018-05-22,40,TFD,0.02692,3451,8.0%,-33.4%
2018-05-27,29,TFD,0.0249,3624,7.8%,-26.9%
2018-07-04,37,TFD,0.031580000000000004,4993,7.7%,55.1%
2018-07-03,51,TFD,0.027989999999999998,4956,7.7%,43.8%
2018-07-06,48,TFD,0.03055,5098,7.3%,35.5%
2018-07-08,52,TFD,0.032330000000000005,5188,7.3%,24.6%
2018-05-28,32,TFD,0.02324,3656,7.2%,-20.6%
2018-07-09,64,TFD,0.03418,5252,7.1%,10.5%
2018-05-29,36,TFD,0.02436,3692,7.0%,-9.5%
2018-07-10,50,TFD,0.03007,5302,7.0%,7.4%
2018-07-19,200,TFD,0.03585,5720,6.8%,29.6%
2018-07-11,31,TFD,0.03075,5333,6.8%,-2.6%
2018-07-07,38,TFD,0.032889999999999996,5136,6.8%,27.0%
2018-05-30,33,TFD,0.02454,3725,6.7%,-1.4%
2018-07-26,36,TFD,0.02957,6101,6.7%,-17.5%
2018-05-31,35,TFD,0.026139999999999997,3760,6.4%,-1.6%
2018-06-01,22,TFD,0.02446,3782,6.2%,-5.9%
2018-07-12,21,TFD,0.02766,5354,6.0%,-12.4%
2018-06-09,27,TFD,0.02338,4034,6.0%,-10.5%
2018-06-08,33,TFD,0.024640000000000002,4007,5.9%,0.7%
2018-06-03,31,TFD,0.025889999999999996,3836,5.8%,4.0%
2018-06-02,23,TFD,0.026119999999999997,3805,5.8%,-3.4%
2018-07-01,24,TFD,0.025939999999999998,4835,5.8%,18.7%
2018-06-07,39,TFD,0.025269999999999997,3974,5.7%,-3.3%
2018-06-06,38,TFD,0.02537,3935,5.6%,3.4%
2018-06-04,25,TFD,0.02465,3861,5.6%,6.1%
2018-06-10,15,TFD,0.019530000000000002,4049,5.6%,-24.6%
2018-06-05,36,TFD,0.02615,3897,5.6%,7.3%
2018-06-11,25,TFD,0.020069999999999998,4074,5.5%,-18.6%
2018-07-13,16,TFD,0.027589999999999996,5370,5.3%,-9.7%
2018-06-12,22,TFD,0.01753,4096,5.1%,-33.0%
2018-07-27,21,TFD,0.03095,6122,5.0%,-2.3%
2018-07-14,15,TFD,0.02737,5385,4.8%,-16.8%
2018-06-13,22,TFD,0.016730000000000002,4118,4.7%,-34.1%
2018-06-14,38,TFD,0.01646,4156,4.6%,-34.9%
2018-11-23,24,TFD,0.00797,8153,4.5%,-27.7%
2018-11-22,43,TFD,0.007739,8129,4.4%,-26.2%
2018-07-28,20,TFD,0.0305,6142,4.4%,-9.0%
2018-11-21,41,TFD,0.008381,8086,4.2%,-20.3%
2018-07-15,18,TFD,0.02963,5403,4.1%,-8.4%
2018-11-24,18,TFD,0.007047,8171,4.1%,-32.6%
2018-11-25,62,TFD,0.00746,8233,4.0%,-27.3%
2018-07-29,22,TFD,0.03147,6164,3.9%,-7.4%
2018-11-20,52,TFD,0.007295,8045,3.9%,-41.3%
2018-07-16,40,TFD,0.03485,5443,3.6%,2.0%
2018-07-17,45,TFD,0.036180000000000004,5488,3.5%,20.3%
2018-07-18,32,TFD,0.033960000000000004,5520,3.5%,10.4%
2018-11-19,79,TFD,0.008256,7993,3.4%,-40.4%
2018-11-26,25,TFD,0.00663,8258,3.3%,-19.7%
2018-12-26,53,TFD,0.009972,9177,3.3%,13.9%
2018-07-30,27,TFD,0.02854,6191,3.3%,-6.6%
2018-12-25,36,TFD,0.01035,9124,3.3%,19.6%
2018-12-24,66,TFD,0.01144,9088,3.2%,42.0%
2018-11-27,35,TFD,0.006964,8293,3.1%,-4.5%
2018-12-30,40,TFD,0.01015,9296,3.0%,-10.3%
2018-12-27,23,TFD,0.008719,9200,3.0%,-17.6%
2018-12-29,33,TFD,0.009515000000000001,9256,3.0%,-12.3%
2018-12-28,23,TFD,0.01026,9223,3.0%,2.8%
2018-07-31,18,TFD,0.02804,6209,2.9%,-8.6%
2018-12-01,34,TFD,0.009148,8410,2.9%,29.8%
2018-11-28,29,TFD,0.009387999999999999,8322,2.9%,12.0%
2018-12-31,51,TFD,0.009665,9347,2.8%,-15.5%
2018-11-29,32,TFD,0.008717,8354,2.8%,12.6%
2018-11-30,22,TFD,0.008409,8376,2.7%,5.5%
2018-11-18,64,TFD,0.01026,7914,2.7%,-30.8%
