,Count,Token,Price,7days_cum_sum,7days_acc_rate,price_change
2018-02-19,205,WPR,0.1492,2521,464.0%,15.8%
2018-02-20,223,WPR,0.1275,2744,251.3%,9.5%
2018-03-29,2379,WPR,0.0959,39945,211.8%,11.4%
2018-03-26,354,WPR,0.09676,37312,196.2%,13.5%
2018-03-24,16387,WPR,0.08057,36826,196.2%,-1.0%
2018-03-27,110,WPR,0.08872000000000001,37422,195.1%,-2.1%
2018-03-25,132,WPR,0.07824,36958,194.9%,2.8%
2018-03-28,144,WPR,0.1074,37566,194.6%,25.9%
2018-02-21,438,WPR,0.1758,3182,190.6%,26.7%
2018-02-22,361,WPR,0.1699,3543,143.7%,2.7%
2018-02-24,796,WPR,0.19399999999999998,4840,131.4%,9.4%
2018-02-25,296,WPR,0.1869,5136,121.8%,18.7%
2018-02-23,501,WPR,0.1848,4044,121.5%,5.4%
2018-02-26,224,WPR,0.1802,5360,112.6%,20.8%
2018-02-27,170,WPR,0.1764,5530,101.5%,38.4%
2018-03-30,316,WPR,0.0903,40261,97.0%,9.5%
2018-03-08,634,WPR,0.1178,11537,96.8%,-32.3%
2018-03-09,126,WPR,0.1274,11663,92.3%,-36.4%
2018-03-07,2935,WPR,0.1267,10903,91.5%,-25.3%
2018-03-10,106,WPR,0.1173,11769,86.9%,-45.1%
2018-03-11,101,WPR,0.127,11870,83.5%,-39.3%
2018-03-12,108,WPR,0.1159,11978,79.1%,-33.1%
2018-02-28,164,WPR,0.1697,5694,78.9%,-3.5%
2018-03-23,7627,WPR,0.0825,20439,65.5%,-13.2%
2018-03-01,167,WPR,0.174,5861,65.4%,2.4%
2018-03-13,101,WPR,0.1169,12079,51.6%,-28.8%
2018-03-02,204,WPR,0.2002,6065,50.0%,8.3%
2018-03-06,1279,WPR,0.1642,7968,44.1%,-6.9%
2018-03-03,232,WPR,0.2138,6297,30.1%,10.2%
2018-03-04,173,WPR,0.2093,6470,26.0%,12.0%
2018-03-05,219,WPR,0.1733,6689,24.8%,-3.8%
2018-03-14,84,WPR,0.09688,12163,11.6%,-23.5%
2018-04-01,148,WPR,0.08759,40589,9.8%,12.0%
2018-03-31,180,WPR,0.09032000000000001,40441,9.8%,12.1%
2018-04-03,171,WPR,0.09745,40899,9.3%,9.8%
2018-04-04,140,WPR,0.08315,41039,9.2%,-22.6%
2018-04-02,139,WPR,0.08871,40728,9.2%,-8.3%
2018-03-15,110,WPR,0.09091,12273,6.4%,-22.8%
2018-03-16,78,WPR,0.09506,12351,5.9%,-25.4%
2018-03-17,83,WPR,0.08142,12434,5.7%,-30.6%
2018-03-18,99,WPR,0.07608999999999999,12533,5.6%,-40.1%
2018-03-19,64,WPR,0.08528,12597,5.2%,-26.4%
2018-03-20,83,WPR,0.09061,12680,5.0%,-22.5%
2018-03-21,71,WPR,0.08532999999999999,12751,4.8%,-11.9%
2018-03-22,61,WPR,0.08611,12812,4.4%,-5.3%
